Boađus: 15 667
» Sii vástidedje : « Mii ba das 	guoská 	midjiide ? #ILL Sem/Hum
Dán barggu lea dárbu geahčadit ovttas Barentsábi mariidna birrasii ja Lofuohta olggobeallásaš mearraguovlluide 	guoski 	ollislaš hálddašanplána čuovvolemiin , ja ulbmil lea gozihit ekovuogádaga dili . #ILL Sem/Plc
Ráđđehus áigu váikkuhit dasa ahte sámi ásahusaid návccat ovdánivčče álgoálbmogiidda 	guoski 	servodatdutkamis . #ILL Sem/Hum
Dasa lassin ohppet árvvoštallat ja analyseret sámi servodahkii 	guoski 	diliid , ja oahpásmuvvet eará álgoálbmogiidda ja álgoálbmogiid sajádahkii riikkaidgaskasaš servodagas . #ILL Sem/Org
Seammá 	guoská 	maid kurssaide , mat dollojuvvojit Sámi allaskuvlla olggobealde . #ILL Sem/Edu
Riikkadási ja báikkálaš vuođđooahpahusa 	guoski 	mearrádusat ráhkadit vuođđooahpahu- #?
Vuođđooahpahusa oahpahusplána dagadettiin galgá váldit vuhtii ovdaoahpahusa oahppaplána ja vuođđooahpahusa oktilašvuođa sihke earáid gielddas dahkkon mánáid , nuoraid ja skuvlema 	guoski 	mearrádusaid . #?
Logahatlágas mearreduvvo logahatskuvlema ordnemii 	guoski 	geatnegasvuođain . #ILL Sem/Act
Instituhta ulbmilin lea maiddái addit áiggeguovdilis oktasašgotti 	guoski 	ja eará skuvlema ja ruovttuiđuhttinprográmma mielde suoma giela oahpahusa olgoriikalaččaide . #?
Oahpahusa resursaulbmiliidda gullet oahpahus- ja doarjjabálvalusveaga , lanjaid ja aparáhtaid 	guoski 	ulbmilat . #ILL Sem/Semcon
Vuođđooahpahusa oahpahusplána dagadettiin ferte váldit vuhtii ovdaoahpahusa oahppaplána ja vuođđooahpahusa oktilašvuohta ja earát gielddas dahkkon mánáid , nuoraid ja skuvlema 	guoski 	mearrádusat . #?
Goalmmát kapihttalis buvttán oppalaš dieđuid giellasosiologalaš dutkamiin mat 	gusket 	giellamolsumii , ealáskahttimii ja etnolingvisttalaš ceavzin-návccaide . #ILL Sem/Process #ILL Sem/Act #ILL Sem/Feat-psych
Dutkanfáttát mat 	gusket 	giellageavaheapmái servodagas gohčoduvvojit sosioling-vistihkkan ja giellasosiologiijan . #ILL Sem/Act
Politihkalaš-lágalaš dilit : Leago vehádatgielat joavkkus muhtin veardde politihkalaš autonomiija dahje vuoigatvuohta ieš mearridit gažaldagaid mat 	gusket 	dán jovkui ? #ILL Sem/Hum Sem/Group
Suomas vuoigatvuohta lei ráddjejuvvon Sámi ruovttuguvlui , ja 	guoskkai 	maiddái joatkkaoahpahussii . #ILL Sem/Edu
Go váldočoahkkin lea julggaštusa dohkkehan , de dan maŋŋá dat 	guoská 	buot stáhtaid . #ILL Sem/Org Sem/Plc
Konvenšuvdna artihkal 27 bokte , mii 	guoská 	minoritehtaid ja álgoálbmogiid vuoigatvuođaide , lea maid sápmelaččat váidán komiteai ja lihkostuvvan bures . #ILL Sem/Feat-psych
Sihke vuoigatvuođat ja sii geaidda vuoigatvuođat 	gusket 	, leat čielgasit meroštallojuvvon . #ILL Sem/Hum
Dát 	guoská 	sániide ja dajaldagaide mat sáhttet jáhkihit ahte ášši lea mearriduvvon ovdalgo ášši lea leamaš dikki ovdii , namma- ja govvageavaheapmái ja eará dieđuide maid dihte sáhttá identifiseret olbmuid geain politiijat leat beroštuvvon ja man láhkai galggašii vuhtiiváldit rihkusdaguid gillájeaddjiide . #ILL Sem/Cat #ILL Sem/Txt
Dat ahte dovddus olmmoš lea seaguhuvvon ráŋggáštanveara áššiide ii mearkkaš dalánaga ahte preassaetihkalaš eavttut mat 	gusket 	almmolaš olbmuide , leat fámus . #ILL Sem/Hum
	guoská 	dieđusge maid interneahttaalmmuhemiide . #ILL Sem/Act
Artihkkala maid lea divvon dahje man šallošeapmi 	guoská 	áššiide mat eai leat nu duođalaččat , galgá merkejuvvot nu ahte boahtá ovdan makkár dieđut leat leamaš boastut ja mo daid lea divvon dahje šallošan . #ILL Sem/Abstr-count
Dát gáibádus ii 	guoskka 	binnánaš rievdadusaide mat dahkkojit oassin interneahttaalmmuheami dábálaš ođasmahttimis . #ILL Sem/Process
Jos cealkámuš 	guoská 	áššái mas lea mieđihuvvon anonymitehtta áššemeannudeamis , de galgá sirdit buot veršuvnnaid artihkkalis giddejuvvon guvlui gosa almmolašvuohta ii beasa . #ILL Sem/Process
Mii leat oahppan ahte Indiá kástavuogádagas vuolimužžan leat Sudra mii oaivvilda joavkku man ii galgga 	guoskat 	.  #ACC Sem/Hum Sem/Group
Dát 	guoská 	earenoamážit rabasvuhtii , buot beliin , áddet ja vuostáiváldit kontruktiivvalaš kritihka , ahte dan oaivil ii leat njeaidin , muhto baicce ( bajás ) huksen smiehttama ja inspirašuvnna bokte – ahte maiddái Sápmi ge dárbbaša bures vuođđuduvvon siskkáldas kritihka . #ILL Sem/Feat
Fáttát leat buot-olbmuide 	guoski 	, muhto dieđusge lagat sámi lohkkiide dan dihtii go dáhpáhusat ja duogáš lea sámi guovllus ja girjjit čállojuvvon sámegillii . #ILL Sem/Hum
Vuoigŋaduodjeláhka 	guoská 	sihke girjjálaš , dieđalaš ja dáiddalaš bargguide . #ILL Sem/Act
Dat lea duohta láhkásis , muhto ii gal duohta jus mearrida sámi definišuvnna viiddibun go dušše 	guoskat 	davvisámegillii . #ILL Sem/Lang
Mii 	guoská 	dáhpáhusaide 1905´s , lea lunddolaš jearrat : Lei go dát dehálaš jahki sámid ja nášunalstáhtaid oktasaš eallimis , guhkit historjjálaš perspektiivvas ? #ILL Sem/Event
Kodisilla han lei oassin dan seammá rádjasohpamušas mii otne ain 	guoská 	sihke Norgga-Ruoŧa ja Norgga-Suoma rádjái . #ILL Sem/Plc-line
ábálaččat dát dieđus vuosttažettiin 	guoská 	stuorát ja unnitálbmogiid gaskavuhtii , muhto sáhttá maiddá vuolgit lagaš siidaguoimmi dilálašvuođas . #ILL Sem/?
Erenoamážit 	guoská 	dát cealkkahámiide , dat mo mii bardit oktii dajaldagaid . #ILL Sem/Cat
Jáhkán iešalddes ahte dat 	guoská 	vel ain eanet go dušše dovdduide , ahte dat beanta váikkuha min identitehtii . #ILL Sem/Perc-emo
Sápmelaččaid rolla áššedovdin badjelgehččojuvvui , dasgo sii ledje ( bealálaččat ja dan dihtii eahpeneutrála ) gažaldagain , mat 	guske 	sidjiide alcceseaset . #ILL Sem/Hum
Dat vuođđuduvai doaivagii , ahte sápmelaččat oaččošedje gievrrat sajádaga dutkamušas , mii 	guoská 	sidjiide alcceseaset . #ILL Sem/Hum
Ieš guottihan dan , ahte tearbma lappologiija ráddjejuvvo 	guoskat 	dieđalašlunddot teavsttaide , amaset seamma sárgá ala biddjot ovdamearkka dihte T. I. Itkosa dieđaartihkalat ja girječálli K. M. Walleniusa seammaáigásaš , juobe rasisttalaš govvádusat nuortalaččain . #ILL Sem/Txt
Identitehta Mun ja mu ahkásaččat leat bajásšaddan doahpagiin « identitehta » - dan sáni lean juo gullan nu ollu háviid ahte loahpas measta jáhkkigohten ahte dat lea tearbma mii dušše 	guoská 	midjiide sámiide . #ILL Sem/Hum
Su oktovuođa válljen ii livččii dalle dakkár mii 	guoská 	olbmuide oppalaččat . #ILL Sem/Hum
Sámegielas leat dan sivas erenoamáš logudefineren doaibmamin ja allafrekventa informašuvnnadássi mii 	guoská 	gielladiliid hápmái . #ILL Sem/Feat-phys
čálakeahtes lágaid ja mearrádusaid mat 	gusket 	guđege guovllu gáktái . #ILL Sem/Clth
Gáktepolitiijain lea maid mearkkašanveara stuora čehppodat das ahte meroštallat geaidda láhka ii 	guoskka 	, namalassii im- #ILL Sem/Hum
Sidjiide 	guoská 	vuoiŋŋaduodjeláhka , ja danin gáktepolitiijat diktet sin eallit dien lága mielde , eai ge beroš sis . #ILL Sem/Hum
Olbmot leat mas­ sán vuoiŋŋa čuollat buohkaid 	guoski 	áššiid bea­ le , loktet sápmelaš čuohcci áššiid beaiveortnegii . #0
” Ee. nu daddjo Sáme­ dikki eanetlogu politihkalaš áigumušain áigodahkii 2009–2013 das mii 	guoská 	sámegiela ovddideapmái . #ILL Sem/Act
Bagada ráđđehusaid ( Irlándda ja Davvi-Irlándda ) ja dáid ovddasvástideaddji ásahusaid mat dan dárbbašit das mii 	guoská 	giela dillái oahpahusa oktavuođain . #ILL Sem/Plc-abstr
Mii 	guoská 	gáktái , de son geavahii gávtti nu guh­ ká go nagodii dan coggat , ii beaivválaččat , muhto go ledje erenoamáš ávvudeamit . #ILL Sem/Clth
Sáhttá muhtunláhkai dadjat ahte Mareka oassin gárttai juste dat ahte su fuol­ la ja áŋgiruššan 	guoskkai 	álbmogii mii ii lean dovddus Čekkias , de dan dihtii lágideaddjit ja almmu ­headdjit­ eai atnán fáttá doarvái berostahttin dasa ahte goastidiš­ goahtit Mareka čállosiid . #ILL Sem/Hum
Ovdamearkkaid bokte girji guorahallá mo eamiálbmotdutkama ja - oah­ pahusa guovddáš fáttat 	gusket 	sámi diliide . #ILL Sem/Plc-abstr
Dat 	guoská 	sámi muitalanárbevirrui čállima hárrái . #ILL Sem/Act
Erenomážit 	guoská 	dat dakkár mátkkoštanfitno ­dagai­ de mas fysalaš hápmi doaibmá moatti láhkái . #ILL Sem/Org
Gelbbolašvuođamihttomearit mat leat merkejuvvon násttiin* Jo1:as eai 	guoskka 	ohppiide geat čuvvot fidnofágalaš oahppoprográmmaid . #ILL Sem/Hum
Árbevirolaš máhttu váldooasis deattuhuvvo ovdánahttit giela mii 	guoská 	árbevirolaš doabageavaheapmái ja dadjanvugiide . #ILL Sem/Act #ILL Sem/Feat
geavahit sániid , doahpagiid ja dadjanvugiid mat 	gusket 	lundui #ILL Sem/Feat-psych
selvehit rivttiid mat 	gusket 	sámegillii #ILL Sem/Lang
geavahit sániid ja dajaldagaid mat 	gusket 	árbevirolaš ja ođđaáigásaš bargoeallimii , árvalit ja árvvoštallat ođđa tearpmaid #ILL Sem/Act
dulkot áššiid mat 	gusket 	skuvlii dárogielas sámegillii #ILL Sem/Org
Bagadus 	guoská 	sámegielfága vuosttaš- ja nubbingillii . #ILL Sem/Lang
Lars Helle earuha girjjistis ( s. 20 , 57 ) árvvoštallama ja bagadusa ná : árvvoštallan 	guoská 	eanet oahppi bohtosii ja mihtida oahppi máhtu , dat lea dárkun . #ILL Sem/Semcon
Bagadus 	guoská 	eanet oahppi bargoprosessii ja veahkeha oahppi olahit mihttomeriid . #ILL Sem/Process
Dát 	guoská 	sihke árvosátne- ja árvosánehis árvvoštallamii . #ILL Sem/Act
Dát galgá dahkkot sihke árvosániiguin ja árvosániid haga ja 	guoskat 	njálmmálaš ja/dahje/ja čálalaš bargguide . #ILL Sem/Act
Go gáibiduvvo oahpaheaddjis ahte galgá duođaštit iežas dahkkon árvvoštallama , de dat lea oahppái sihkarvuohta dasa mii 	guoská 	árvosátnemearrideapmái . #ILL Sem/Act
FUOMÁŠ : Árvvoštallan 	guoská 	oahppoprosessii seamma olu go oahppi bohtosiidda ! #ILL Sem/Process
Fuomášan veara lea ahte árvosánehis árvvoštallan lea sihke individa- ja ulbmilguoski , go mánáidskuvlla vuolledásis galgá buot árvvoštallan geavvat árvosániid haga ja galgá leat individii 	guoski 	. #ILL Sem/Hum
Mánáidskuvlla gaskadásis galgá árvvoštallan leat sihke individii 	guoski 	, muhto maiddá ulbmilguoski , go dán rájes galgá iskkadit man muddui oahppi fáhtii fágaoahpa O97S ulbmiliin . #ILL Sem/Hum
Individaguosk i árvvoštallan ; 	guoská 	oahppi bohtosiidda go daid buohtastahttá su ieš-iežas oahppanábiid ektui ja makkár vejolašvuođat sus leat olahit oktasaš ulbmiliid . #ILL Sem/Semcon
Ulbmilguoski árvvoštallan ; 	guoská 	dasa man muddui oahppi olaha fága ulbmiliid . #ILL
Joavkoguoski árvvoštallan ; 	guoská 	dasa go oahppi bohtosat buohtastahttojit earáid bohtosiid ektui . #ILL
Árvvoštallan árvosániiguin galgá 	guoskat 	buot giellafágaide ja matematihkkii , sihke njálmmálaččat ja čálalaččat . #ILL Sem/Edu
Árvosánehis árvvoštallan 	guoská 	oahppi iežas oahppanábiide , su oahppanvugiide ja bargoáŋgirvuhtii ( elljui ) ja ovddeš bohtosiidda buohtastahtton ulbmiliidda . #ILL Sem/Plc
Árvosánehis árvvoštallan galgá maiddá 	guoskat 	ja báikkálaš plánaid válljemiidda ( Rettleeiing L97 , L97S Elevvurdering s. 18 ) . #ILL #0
Njálmmálaš ja čálalaš gealbu galgá árvvoštallot sihke árvosániiguin ja árvosániid haga ja gealboárvvoštallan galgá 	guoskat 	sihke fágalaš , sosiálalaš ja metodalaš čehppodahkii . #ILL Sem/Feat-psych
Ii dat 	guoskka 	gal prošeaktabargui , muhto dat lea jurddašuvvon ovdamearkan mo sulaid sáhtášii diekkáriid ráhkadit . #ILL Sem/Act
váibmilvuohta musihkkii 	guoská 	#ILL Sem/Prod-audio
Su váibmilvuohta musihkkii 	guoská 	maid vejolašvuhtii oaidnit ja olahit olbmuid beroškeahttá liikeivnnis dahje gielas . #ILL Sem/State
dainna ; dát 	guoská 	sihke nomáda- #?
festivála , erenoamážit mii 	guoská 	#?
ja čehppodaga áššiin mat 	gusket 	#?
Dasa lassin oaččut dieđusge ollu hárjáneami ja čehppodaga áššiin mat 	gusket 	álgoálbmogiidda , kultuvrii ja identitehtii . #ILL Sem/Hum #ILL Sem/Feat #ILL Sem/Feat
dadjá sin , geaidda dat 	guoská 	, iežaset #ILL Sem/Hum
Son ii goassige máinnaš namaid muhto dadjá sin , geaidda dat 	guoská 	, iežaset diehtit . #ILL Sem/Hum
goas eat juo bálval gait mii 	guoská 	#?
Otnábeaivve mii oaidnit ahte mii goas eat juo bálval gait mii 	guoská 	bibmui . #ILL Sem/Food Sem/Event
Dat lea loddi mii álohii lea jođus , ja danin sáhtánge dovdat oktiigullevašvuođa dainna ; dát 	guoská 	sihke nomádadillái ja ohcaleapmái gaskaijabeaivváža lusa . #ILL #ILL
Go jearan sus maid Riddu Riđđu máksá sutnje , de boahtá vástádus dego ildus : – Riddu Riđđu lea dehálaš festivála , erenoamážit mii 	guoská 	mearrasámiid rámiideapmái , muhto maid dan sivas go dáppe mii beassat oahpásnuvvat iežá álgoálbmotkultuvrraide . #ILL Sem/Act
Maid eai borran dan guđđe eatnamii , ii oktage ealli 	guoskan 	daid goassege ja dat manne ruovttuluotta lundui .
Vehážiid sáhka jorggihii Hemmo veadjimii , mii 	guoskkai 	sudno guktuid eallimii . #ILL Sem/Act
Hemmo ordnegođii bivdosiid ja muitalii ahte lei oahppan áhčistis čiktit , moardit ja buot , mii 	guoskkai 	luossabivdui ; 8.8.-62 . #ILL Sem/Act
Buot áddjás juovlaráhkkaneamit eai 	guoskan 	šat sutnje ja čoakkalmasaid jullo su beales doalahit dat , geat oidne dasa dárbbu . #ILL Sem/Act
Suinna lei álki háleštit , son máhtii movttáskit áššiin , mat eai 	guoskan 	njuolgga su iežas eallimii . #ILL Sem/Act
Son ii máhttán guoimmuhit nuorra olbmo gehppes ságaiguin , muhto álo go válddii ovdan juoga ášši , de oaččui leat juo sihkkar ahte dat 	guoskkai 	juogaláhkai su iežas eallimii : málenbargui , árbeviesu divvunjurdagii , boares bartii . #ILL Sem/Act  #ILL Sem/Act #ILL Sem/Prod-cogn
Heaika jugai moadde gohpa káfe , borai máŋga nisoláibevajahasa , muhto ii 	guoskan 	keaksapáhkkii . #ILL Sem/Obj
Son 	guoskkahasttii 	isida sealgái , muhto dát ii dávistan . #ILL Sem/Body
Son finai gielddas buot čoahkkimiin , mat ležžet veháge 	guoskan 	sutnje , vuojašii fivrrolaš muhtumin dušše hearvva dihte Girkosiiddas ja Márkanis hálešteamen . #ILL Sem/Hum
Áidna jeđđehus dás lei ahte ášši 	guoskkai 	maiddái su guoibmái , ja guovttá diekkár beahttašumi lei geahppasut guoddit . #ILL Sem/Hum
Dát oassi lei 	guoskan 	dušše geavatlaš beallái , dasa ahte man bures guhtege dovddai iežas barggu . #ILL Sem/Part
Sii ledje álo eallán ná , buot dagai sidjiide loahpa loahpas ovtta , mii ii njuolgga 	guoskan 	sin beaivválaš eallimii . #ILL Sem/Act
Dál ii lean dahkan nu dego ášši ii livčče 	guoskan 	sutnje . #ILL Sem/Hum
Heandarat lei gearggus luohpat árbevuoigatvuođastis , eambbo lei čálistan nama vuollai dego ášši ii livčče 	guoskan 	sutnje . #ILL Sem/Hum
Susge lei goatnelbihttá , ii mihkkige erenoamážiid , muhto fierbmesadji almmatge ahte sáhtii geahččat ahte ášši 	guoskkai 	sutnjege . #ILL Sem/Hum
Go beaivegirjjiid dieđut goas nu leahkastuvvošedje vierročalmmiid ovdii , de buohkat geaidda ášši njuolgga 	guoskkai 	ledje juo guhká leamaš hávddis ja sin muitu vajálduvvan olbmuid mielain . #ILL Sem/Hum
Son ii diehtán ahte galggaigo ieš váldit oktavuođa vielljabeale leskii , sus livččii lean gal dasa vuoigatvuohta , dasgo 	guoskkaihan 	ášši sutnjege . #ILL Sem/Hum
Ii oaččo šat 	guoskat 	masage , dárkileappot dadjat doalvut ja bilidit . #ILL
Gili olbmuid áššit eai 	guoskan 	sutnje . #ILL Sem/Hum
Buohkat , geaidda ášši 	guoskkai 	, dovde dan gamusteaset juogalágan sevdnjes suoivvan , mii čuvodii sin . #ILL Sem/Hum
Muhto mu goittot geasuhii buot eanemus visot mii 	guoskkai 	Máhtebáikái . #ILL Sem/Plc
Ná ii dáhpáhuvvan ovdal gallii , muhto ammal lei áddegoahtán ahte ášši 	guoskkai 	sutnjege , buot váivves áššiid ii sáhttán šat dodjit dušše boarrásut vieljaguoktái . #ILL Sem/Hum
Ivvár lei giitán goidasit , mas árvidii ahte ášši ii 	guoskan 	šat sutnje . #ILL Sem/Hum
Heandarat ii lean šat 	guoskan 	jugástahkii ja bođii álo barggu maŋŋá njuolgga ruoktot . #ILL Sem/Drink
Ja jos duođa hálan , de in várra livčče vuolgán deike jos munnjege ii lean geavvat ná , dajai Tytti-Liisu ja 	guoskkahasttii 	čoavjji . #?
Máhte-Máhtte ii ádden mo ášši 	guoskkai 	sutnje , Antero lei álo leamaš hui dolbmi luossabivdui ja Ánde njulgestaga eattui , go sus bohte diekkáriid jearahit . #ILL Sem/Hum
Dan guhkes juhkanbaji maŋŋá son ii lean šat 	guoskan 	jugástahkii ja lávii ain sihkkarvuođa dihte doamihit dalán barggu maŋŋá moarsis lusa . #ILL Sem/Drink
Dat ii 	guoskan 	sutnje . #ILL Sem/Hum
Go 	guoská 	sámi deaddit de leat dáččat harbmat jegolaččat . #0
Muhto vuos ferte dáčča loktasit geargeáiggi jurddašanvugiis bajás ođđa áiggiide ja duohta bajásčuvgejupmái ― go 	guoská 	olmmoščearddaid árvvuid gehččui . #gehččui
Muhto olmmái , sivilisertta olmmái , deasttaid anii , ii geažit dan guvlui ; mu nubbe máilmmi servvodat ii 	guoskka 	soahtevehkii , ii guoskka duon dáččii ; dat doalahit dan guhkkin gáidagasan . #ILL Sem/Hum Sem/Group
Muhto olmmái , sivilisertta olmmái , deasttaid anii , ii geažit dan guvlui ; mu nubbe máilmmi servvodat ii guoskka soahtevehkii , ii 	guoskka 	duon dáččii ; dat doalahit dan guhkkin gáidagasan . #ILL Sem/Hum
Samá hal mon — go 	guoská 	rivgolašvuhtii ; dalle lean duohko diehke . #ILL Sem/Feat
Buot nu buhtis , ii uhcimusge duolvadielku - dego Liissá livččii dušše nohkastan rávarokki vuđđui , biktasat oktan látnan dasttán bálddas nu ahte suorpmat 	guske 	ruškes vulpui . #ILL Sem/Clth
Munnje duot dáhpáhus daninassii ii šat olus 	guoskka 	: das leat juo guoktelogiokta jagi ja ledjen dalle vel nu mánná ahte in ádden mii dáhpáhuvai aiddo dan čalbmeravkalanbottas , go jápmin bođii ja gesii rájiidis . #ILL Sem/Hum
Seaŋggas soai vuos vealláiga bálddalagaid lihkaskeahttá , dego livččiiga ballan nubbi nuppis ja heahpanaddan ; eabage 	guoskan 	goabbat guoibmáseaskka . #ILL Sem/Hum
Aili čohkkedii suvddára báldii reŋkko ala nu ahte su giehta- ja juolgemáddagat 	guoskkahaste 	suvddára busirii . #ILL Sem/Clth
Sođiid han dat ii hupman , dat eai 	guoskka 	sutnje . #ILL Sem/Hum
Dan čábbodaga han Áne ieš eahpida , mii dasa 	guoská 	. #ILL 
Áne muitá son dalle gamustis dovddái dat šaddá 	guoskat 	sutnje soamesláhkái . #ILL Sem/Hum
» Dan vasttes guožu lea Áne gullan juo Álaheajus – vaikko ii 	guoskan 	jur sutnje dalle . #ILL Sem/Hum
Sámi nieiddaiguin ii biđe ovttage mii fávrrolašvuhtii 	guoská 	, son muitá dan … Amma lea Ritza eahpegermánalaš … ? #ILL Sem/Feat-phys
Hálddašanláhka 	guoská 	áššiid meannudeapmái dán lága vuođul . #ILL Sem/Act
Fápmuduvvon olbmui ja fápmudeapmái 	gusket 	hálddašanlága § 12 nubbi ja njealját lađas vásttolaččat . #ILL Sem/Hum #ILL Sem/Act
Dat 	guoská 	maid almmuhusaid , várrehusaid ja sullasaš dieđuid addimii divššohassii dahje su lagamužžii , jus son čielgasit lea dohkkehan elektrovnnalaš gulahallama geavaheami . #ILL Sem/Act
Gonagas sáhttá stáhtaráđis addit láhkaásahusaid , mat 	gusket 	bákkolaš mielladearvvašvuođadikšumii ásahusa jándordivššu olis ja dan olggobealde . #ILL Sem/Act
Váidalanortnet 	guoská 	dušše sirdimiidda , maid ohcet bákkolaš mielladearvvašvuođadivššu divššohasaide ja dušše : #ILL Sem/Hum
Váidalanortnet ii dattetge 	guoskka 	sirdimiidda seamma guovllu dearvvašvuođafitnodaga ásahusaid gaskkas . #ILL Sem/Act
Ovdalgo dán kapihttala vuođul mearridit ášši , galgá son geasa ášši 	guoská 	, beassat cealkit oainnus . #ILL Sem/Hum
Vuoigatvuohta cealkit oainnus 	guoská 	earret eará bákkolaš dearvvašvuođadikšuma ásahangažaldahkii ja dasa , guđe ásahusas galgá leat ovddasvástádus bákkolaš divššus . #ILL Sem/Act
