[lemma = "galgat"][msd = ".*Ill.*"]
Boađus: 1 160
Ovddit1
2
Čuovvovaš
Cealkkačájeheapmi
	Administrative texts –
Ja dan son 	galgá láddái 	gen dadjat — go boahtá vieččažit , idjaleppot .
Maŋŋel ruhkosa , go olbmot hivástahttale ja vuolggaladde , de mon hástalin Putte ollásam , ja de moai suinna čuoigáime govssa ollái , čuoiggaime mohki vári vuollái go dot 	galge siidii 	, vári badjel .
Riehtistahttin lea dakkáriidda vuolggahas : dáčča ja dáčča servvodat vel ain riehtistahttá sámi ; die lea maiddái sivvan go sápmi ii 	galgga vuoigatvuođaide 	beassat .
Lei goit máŋggaid jagi vássan dan rajis go mon dien dáččii buđehtaid dohpen , ja sučejin mon 	galgen sešuvdnii 	, dan dat suige muittii .
De dajažan : Eai biđe du oarjelaččat dán buohta 	galggan dutnje 	dadjat .
Čáibman ja sleahčan su han dalde hen jávohahttii , son ii šat arvan hoallat áššistis go 	galggai dárogillii 	moalkut fertet ; su beali ii lean aktage čuollamin .
muhto 	galggan dieidda 	eará suskkosiid vuosehit
	Galggaigo dasa 	viggat ?
Ja don 	galggat dakkáriidda 	iežat ealju ja bargomovtta husket , vuoi , vuoi , Ánehažžan !
Doalai girjji čavgasit gieđas ; dál son 	galgá boddii 	boahtit man viisát luonddu ald servodat láhčá saji vuoitti čearddaide .
Áne gárttai dan jovkui ja biilii mii 	galggai vuotnalassii 	muhtin gaskka .
Árvidišgođii son 	galgá nannámii 	.
Dál lea vuotnadámppa Laugen nuppe kájjás , dan mielde lea golgat Ivvárstádiid , Roabaid , Rállegežiid , Sáttiid , Ájagobiid , Fávskkuvákkuid – gitta Skierrái , dalle olmmoš lea ollán Skániide , doppe 	galgá gáddái 	gákčalit .
Dál eai dárbbaš mánát várálaš joga rasttidit go 	galget skuvlii 	.
Sámit 	galget vieruide 	ja gielaide dáruiduvvat , nu lea lohkat instruksas .
	Law texts –
Areálageavaheapmi 	galgá kártii 	merkejuvvot .
Galgá unnimus lági mielde bievlan vuodjit meahccefievrruiguin , ja 	galgá dan 	muddui go vejolaš vuodjit dihto máđijaid mielde mat leat plána kártii merkejuvvon .
Galgá unnimus lági mielde bievlan vuodjit meahccefievrruiguin ja 	galgá dan 	muddui go vejolaš vuodjit dihto máđijaid mielde .
Buot áššebáhpárat 	galget arkiivii 	biddjojuvvot § 3-8 njuolggadusaid mielde .
Áššebáhpárat mat galget doalahuvvut arkiivvas eret dáid nuolggadusaid § 3-19 mielde , eai 	galgga journálii 	.
Ovdalgo ássan mieđihuvvo , 	galgá mánnái 	čilget eavttuid mat vejolaččat namuhuvvojit nuppi lađđasis .
Galgá unnimus lági mielde bievlan vuodjit meahccefievrruiguin ja 	galgá dan 	muddui go vejolaš vuodjit dihto máđijaid mielde .
Vuovdinorganisašuvdna 	galgá Guolástusdirektoráhtii 	dieđihit man ollu lassesállašiin dat lea gávppašan .
Jus divvun- dahje sihkkungáibádus biehttaluvvo , 	galgá divššohassii 	addojuvvot diehtu váidalanvejolašvuođa birra , gč. dearvvašvuođabargiidlága § 42 goalmmát lađas , § 43 goalmmát lađas ja § 44 nubbi dajus .
Nuppi lađđasii : Divššohasvuoigatvuođalága § 3-5 mielde 	galget divššohassii 	ja oapmahaččaide addojuvvon dieđut lága 3. kapihttala mielde leat heivehuvvon vuostáiváldi oktagaslaš eavttuide , nugo ahkái , láttasvuhtii , vásihusaide ja kultur- ja gielladuogážii .
Hálddašanorgána 	galgá sutnje 	fuomášuhttit dán .
b ) eará diliide mat sierra árttaid geažil eai 	galggaše earáide 	muitaluvvot .
Hálddašanorgána mearrida dohkálaš áššemeannudeami ektui mo dokumeanttat 	galget áššái 	gulli beliide leat fidnemis .
Avžžuhusa mielde 	galgá beallái 	addit dokumeanttas nubbehusčállosa , čállosa dahje kopiija .
Go áššái gulli bealli lea dáhtton diehtit dok umeanttain maid son 18. § mielde beassá oaidnit , de 	galgá sutnje 	biddjojuvvot áigemearri goas galgá cealkámuša ovddidit , jus eará áigemearri ii leat biddjojuvvon 16. § olis dahje mearriduvvon áigi ii oro doarvái .
Jus ávžžuhus diehtit dihto dokumeanttain dahje dieđuin biehttaluvvo , de 	galgá beallái 	fuomášuhttit dan mearrádusa mii dasa lea vuođđun , ja čuvgehuvvot ahte sáhttá váidit nuppi lađđasa mielde .
Jus lea nággolága 437. § vuosttas lađđasa dahje eará láhkamearrádusa mielde eaktun áššečuoččaldahttimii ahte váidinvejolašvuohta lea geavahuvvon , dahje jus lea 437. § nuppi lađđasa dahje eará láhkamearrádusa mielde eaktun dárkkisteapmái duopmostuolus ahte áššečuoččaldahttin geavvá dihto áigemearis , de 	galgá beallái 	maid fuomášuhttot dán birra ja man guhkki áigemearri lea .
Go mearrádus rievdaduvvo áššái gulli beallái buorrin , de 	galget sutnje 	buhtaduvvot mearkkašahtti golut mat leat leamaš dárbbašlažžan rievdadit mearrádusa , earret dalle jus rievdadeapmi lea beali iežas dili dahje dakkár diliid geažil maidda bealli dah je hálddašeapmi eai sáhte váikkuhit , dahje jus eará erenoamáš dilit eai oro leame dan vuostá .
Jus mearrádus lea rievdaduvvon , de 	galgá beallái 	fuomášuhttojuvvot vuoigatvuohta gáibidit áššegoluid buhtaduvvot , jus ii leat jáhkkemeahttun ahte sus leat leamaš mearkkašahtti áššegolut dahje navdojuvvo ahte son dahje su doaimmaheaddji diehtá vuoigatvuođa birra .
Hálddašanorgána 	galgá sutnje 	fuomášuhttit dán .
eará diliide mat sierra árttaid geažil eai 	galggaše earáide 	muitaluvvot .
Hálddašanorgána mearrida dohkálaš áššemeannudeami ektui mo dokumeanttat 	galget áššái 	gulli beliide leat fidnemis .
Avžžuhusa mielde 	galgá beallái 	addit dokumeanttas nubbehusčállosa , čállosa dahje kopiija .
Go áššái gulli bealli lea dáhtton diehtit dokumeanttain maid son 18. § mielde beassá oaidnit , de 	galgá sutnje 	biddjojuvvot áigemearri goas galgá cealkámuša ovddidit , jus eará áigemearri ii leat biddjojuvvon 16. § olis dahje mearriduvvon áigi ii oro doarvái .
Jus ávžžuhus diehtit dihto dokumeanttain dahje dieđuin biehttaluvvo , de 	galgá beallái 	fuomášuhttit dan mearrádusa mii dasa lea vuođđun , ja čuvgehuvvot ahte sáhttá váidit nuppi lađđasa mielde .
Jus lea nággolága 437. § vuosttas lađđasa dahje eará láhkamearrádusa mielde eaktun áššečuoččaldahttimii ahte váidinvejolašvuohta lea geavahuvvon , dahje jus lea 437. § nuppi lađđasa dahje eará láhkamearrádusa mielde eaktun dárkkisteapmái duopmostuolus ahte áššečuoččaldahttin geavvá dihto áigemearis , de 	galgá beallái 	maid fuomášuhttot dán birra ja man guhkki áigemearri lea .
Go mearrádus rievdaduvvo áššái gulli beallái buorrin , de 	galget sutnje 	buhtaduvvot mearkkašahtti golut mat leat leamaš dárbbašlažžan rievdadit mearrádusa , earret dalle jus rievdadeapmi lea beali iežas dili dahje dakkár diliid geažil maidda bealli dahje hálddašeapmi eai sáhte váikkuhit , dahje jus eará erenoamáš dilit eai oro leame dan vuostá .
Jus mearrádus lea rievdaduvvon , de 	galgá beallái 	fuomášuhttojuvvot vuoigatvuohta gáibidit áššegoluid buhtaduvvot , jus ii leat jáhkkemeahttun ahte sus leat leamaš mearkkašahtti áššegolut dahje navdojuvvo ahte son dahje su doaimmaheaddji diehtá vuoigatvuođa birra .
Jus divvun- dahje sihkkungáibádus biehttaluvvo , 	galgá divššohassii 	addojuvvot diehtu váidalanvejolašvuođa birra , gč. dearvvašvuođabargiidlága § 42 goalmmát lađas , § 43 goalmmát lađas ja § 44 nubbi dajus .
Divššohasvuoigatvuođalága § 3-5 mielde 	galget divššohassii 	ja oapmahaččaide addojuvvon dieđut lága 3. kapihttala mielde leat heivehuvvon vuostáiváldi oktagaslaš eavttuide , nugo ahkái , láttasvuhtii , vásihusaide ja kultur- ja gielladuogážii .
Eamiálbmot-doahpaga birra lea ollu digaštallojuvvon , ja mii eat 	galgga dán 	digaštallamii searvat dán oktavuođas .
Našunála lágaid ja láhkanjuolggadusaid geavahettiin dihto álbmoga ektui , 	galgá doarvái 	váldit vuhtii sin árbevieruid ja vieruiduvvon vuoigatvuođaid
Seammás 	galgá divššohassii 	dahkat dovddusin vejolašvuođa ohcat buhtadusa nammasaš ásahusas .
Jus dearvvašvuođabargit addet dieđuid mat bohtet lágalaš dieđihangeatnegasvuođa vuollái , 	galgá sutnje 	gean birra dieđut addojit , nu guhkásgo dilálašvuohta luoitá , bajásčuvgejuvvot ahte dieđut leat addojuvvon ja makkár dieđut dat leat .
Gonagas sáhttá mearridit ahte iešguđet láhkamearrádusat 	galget fápmui 	boahtit iešguđet áigái .
Fágalaš ovddasvástideaddji mearrida gáibádusa ja sutnje ovddiduvvon doaktárdieđuid ja - cealkámušaid vuođul , galgágo divššohasa iskkadit nu mo § 3-6 namuha dahje 	galgágo sutnje 	lágidit bákkolaš mielladearvvašvuođadivššu § 3-1 vuođul .
Jus bákkolaš dikšu galgá bistit guhkit go jagi , gozihanlávdegoddi 	galgá dasa 	miehtat .
Fatnasa ovddasvástideaddji 	galgá bearráigehččui 	addit dan veahki ja daid dieđuid , maid dat dárbbaša .
Fanas 	galgá sidjiide 	guossohit biepmu ja oađđinsaji , ja sii galget nuvttá beassat geavahit gulahallangaskaomiid .
Dieđihangeatnegasvuohta Ohcci 	galgá eananeaiggádii 	ja geavaheaddjái dieđihit maŋimusat vahku ovdal go ohcagoahtá .
Go lea praktihkalaččat vejolaš , de 	galgá siiddaide 	njálmmálaččat dieđihit , vrd. 2007 geassemánu 15. beaivvi láhka nr. 40 boazodoalu birra ( boazodoalloláhka ) § 51 .
Go lea geavatlaččat vejolaš , de 	galgá siiddaide 	dieđihuvvot njálmmálaččat , vrd. boazodoallolága § 51 .
Gáibádusat ohcamušaide ja elektrovnnalaš gulahallanreaidduid geavaheapmi Departemeanta sáhttá láhkaásahusa bakte mearridit a ) makkár dieđut 	galgá ohcamuššii 	čállit , dihto ohcanskoviid geavaheami ja ohcci geatnegasvuohta almmuhit liigedieđuid , ja b ) ahte elektrovnnalaš gulahallan galgá geavahuvvot .
Jahkedivat eanaeaiggádii Stáhta minerálaid roggi 	galgá eanaeaiggádii 	máksit jahkásaš divvaga mii lea 0,5 proseanta roggojuvvon minerálaid oppalaš gávpejorus .
Bággensáhkku Dáhkideames ahte láhkamearrádusat ja mearrádusat dán lága vuođul doahttaluvvojit , sáhttá Minerálahálddašandirektoráhtta mearridit bággensáhku man 	galgá stáhtii 	máksit .
Dát namahus maid orru čujuheamen eará dehálaš dovdomerkii , namalassii ahte maŋimustá ferte árvvoštallat dahje vikkedallat jus 	galggaš konklušuvdnii 	joavdat .
lea álbmotrievttis dušše spiehkastahkan mearkkašupmi , muhto opmodatvuoigatvuhtii ja giddodagaid vuoigatvuođaide Finnmárkkus , lea dát earaláhkai - nu gal ahte lea váttis dadjat vissásit goas álbmotriekti galgá leat čuožžovaš ja makkár deattu de 	galgá dasa 	bidjat .
Giddodagaid riektediliide lea álbmotrievttis dušše spiehkastahkan mearkkašupmi , muhto Finnmárkku giddodagaid eaiggáduššanvuoigatvuhtii ja vuoigatvuođaide lea dát earaláhkai - nu gal ahte lea váttis vissásit dadjat goas álbmotriekti adnojuvvo leat čuožžovaš ja makkár deattu de 	galggašii dasa 	bidjat .
Dákkár háviin 	galgá vuoigatvuođalaččaide 	sierra buhtadasa mearridit , buo. oreignetlága § 24 .
Mii dás lea daddjon čuovvu ahte mađe eanet kultuvra lea deddojuvvon , dađe unnit 	galgá dasa 	ahte meassamat adnojit leat álbmotrievtti vuostá .
8. artihkkalis lea daddjon ahte 	galggašii doarvái 	váldit vuhtii guoski álbmogiid vieruid ja vieruiduvvan vuoigatvuođaid , ja ahte álbmogis galgá leat vuoigatvuohta doalahit iežaset dábiid ja ásahusaid .
guovllu rájáid go 	galggai dasa 	huksejuvvot .
Dákkár eatnamiin 	galggai álbmogii 	leat gielddus lubmet earágo dasttán borramii , ja ii datge galgan dahkkot vuostá eaiggáda čielga gildosa .
Buhtadas mii biddjo orohahkii , 	galgá boazodoalliide 	siskkáldasat dásseduvvot juohkehačča boazologu ektui , buo. § 25 viđát lađđasa .
( er ligiæ i varom almennighom her ydr ) , ja go son dáhtui su álbmoga galgat beassat návddašit vuoigatvuođaidis ( sinnæ rettyndæ ) , de gohčui son jávrriid ruovttoluotta [ juohke ] giliolbmáin nu ahte jávrrit 	galge álbmogii 	( oeim ) ávkin ovddeš vieru mielde .
Ja niittuin dáppe šattai suoidni mii 	galggai omiide 	dálvefuođđarin .
Sii 	galge giliássiide 	gohcit vuvddiid ja čujuhit lastavuvddiid .
Bieđggus eanabihttáláigohemiid sáhttá dušše diktit čuovvovaš háviid : a ) Barttat maid 	galget boazoealáhussii 	ávkin .
Barttat mat 	galget boazoealáhussii 	ávkin .
Almennetstivra mearrida 	galgágo earáide 	go dáidda addot bivdolohpi , geahča § 7-2 , ja sáhttá § 7-5 mielde dihto eavttuin šiehtadit láigohit bivdovuoigatvuođaid jahkái ain háválassii .
mii 	galgá Báktedoaimmahahkii 	ovddiduvvot dohkkeheapmái .
Jus dákkár bilidemiid ii sáhte garvit , 	galgá luonddusuodjalaneiseválddiide 	diedihit buori áiggis ovddalgihtii .
Johtucállosa mielde 	galgá dasa 	lassin go cilgejuvvo mo doaibmabidju cuohcá luondduriggodagaide , birrasii ja servodahkii , cielggadit doaibmabijuid moanaid fágalaš teknalaš ja rudalaš dilálašvuodaid , geahca muddenlága § 5 a , b ja e bustávaid .
Eaktun lea ahte álbmotmeahcit 	galget olgunastimii 	leat ávkin , ja lea danin lohpi olgunastit ja johtalit doppe .
Oahppofitnodat 	galgá alcces 	ovdánaht tit siskkáldas plána oahpahusa várás , vai dáhkida ahte fitno oahppi dahje oahppokandidáhtta o a žž u oahpahus a mii ollášuhttá oahppoplána gáibádusaid , dahje oktagaslaš oahpahusplána .
Jus ohppiidráđđi dahje skuvlla ohppiid logu viđádasoassi dan gáibida , 	galgá ohppiide 	lágiduvvot buohkaidčoahkkin skuvllas .
Skuvlaeaiggát 	galgá ohppiide 	nuvttá addit šaddosiid ja ruotnasiid .
Suohkan galgá gáibidit ahte mánát dahje nuorat 	galget skuvlii 	jus dán lága ja láhkaásahusaid gáibádusat eai ollašuvvo ruovttuoahpahusain .
Seammás 	galgá divššohassii 	dahkat dovddusin vejolašvuođa ohcat buhtadusa “ Norsk pasientskadeerstatning ” nammasaš ásahusas .
Jus dearvvašvuođabargit addet dieđuid mat bohtet lágalaš dieđihangeatnegasvuođa vuollái , 	galgá sutnje 	gean birra dieđut addojit , nu guhkásgo dilálašvuohta luoitá , bajásčuvgejuvvot ahte dieđut leat addojuvvon ja makkár dieđut dat leat .
Gonagas sáhttá mearridit ahte iešguđet láhkamearrádusat 	galget fápmui 	boahtit iešguđet áigái .
Seammás 	galgá organisašuvnnaide 	dieđihit ahte áigemearri sáddet ođđa dieđuid dahje duođaštit daid válgii guoski dieđuid , mat leat logahallojuvvon organisašuvnna logahallanlávdegotti čoahkádusa birra , lea ođđajagimánu 2. b. válgajagi .
21 § Eiseváldi čuovvunovddasvástádusain 	galgá dasa 	lassin bagadallama , diehtojuohkima ja seammasullasaš doaimma bokte veahkehit eará hálddahuseiseválddiid lága geavaheami oktavuođas .
	Min Aigi –
Prevanšuvdnabagadalli 	galggai sidjiide 	ja rukses // alit russaide ordnet gummiid , muhto dainna bargguin son ii lihkostuvvan .
– Sáhka lea leamaš ahte galgá leat sámi riikkajoavku spábbačiekčamis , ja ahte mun 	galggan dasa 	hárjeheaddjin .
c : Joesuu lea dien báikki suomagiel namma ja 	galggašii dárogillii 	leat elvemunning dahje osen .
– Jos sámeleavga 	galgá leavgastággui 	, de galgá ráhkisvuođain sámi álbmogii .
– Eat oainne dárbbašit nammadit sierra lávdegotti mii 	galgá Sámediggái 	ráhkadit etihkalaš njuolggadusaid .
Ášši 	galgá suohkanstivrii 	geassemánu 18 beaivvi .
In mun dieđe , livččiimet dieđusge sáhttán dadjat ahte 	galgá Anárii 	, muhto ovttaláhkai orru leamen Norgga bealde heivoleamos báiki , daningo doppe leat ressurssat .
Gieldda dábálaš oahpaheaddjit gal eai 	galgga dán 	skuvlii .
Ráđđeolmmái Guttorm Isaksen muitalii ahte buot suohkana báhpárat 	galget internehttii 	:
Ámmátskuvllas dálá vurkejuvvon borramušat 	galget Lujávrái 	, Kanevkkai , Krasnosjelei , Sosnovkai ja Rievdái .
Dasto , galgágo vehádatsuodjalusa ollašuhttin leat oktagaslaš vai oktasaš vuoigatvuođain , 	galgágo vehádahkii 	addot formála vai duohta ovttadássásašvuohta , ja mo diehtit goas lea ovttaárvosaš .
Mo kultuvrra , ekonomiija ja eatnamiid oktavuohta , ja 	galgetgo kultursuodjalussii 	gullat ealáhusat ja ruhtajuolludeapmi .
Ferte čielgat ahte ásáhusain , nu go Sámedikkis , 	galgá sámegillii 	jođihit beaivválaš barggu .
Nu gohčoduvvon Sámelávdegoddi han ásahuvvui 1956:s , mii de 	galggai sámiide 	čielggadit prinsihpalaš gažaldagaid ja konkrehta doaimmaid .
Mearkkaša go dát ahte dát joavku ii šat 	galgga áššái 	beassat dadjat maidege ?
Ráđđealmmái , Eilf Basso ( govas ) evttoha ahte gielda 	galgá ráđđehussii 	addit duvdosiid das , ahte fuorrágávppašeaddjit galget kriminaliserejuvvot láhkarievdadusain .
Nu mo Jeagge-Jussá ieš nu deaivilit čilge dán čájálmasas go galggašii mearridit , ahte 	galgágo márkanii 	mannat sáibbu oastit vai galggašiigo Niibe-Nillá gávppis bisánit uhca-veahá válddestit .
Digaštallan das gii 	galgá nuppi 	sadjái .
Dat mearkkaša ahte ášši 	galggašii luossadiggái 	.
Giđđat fas 	galgá mánáide 	ja nuoraide doalut .
Dán gohču orro sátnejođiheaddji Anton Reier Dahl ollásit čuovvoleamen go son nu roahkkadit gáibida , ahte NRK Sámi Radio 	galgá gillái 	ásahit sierra tv-joavkku .
KSS diehtá gal ahte gielda lea nammadan lávdegotti Sámi vuoigatvuođalávdegotti árvalusa barggu vuođul , muhto min mielas 	galggašii dán 	bargui oažžut eará berošteaddjiide fárrui .
c : Joesuu lea dien báikki suomagiel namma ja 	galggašii dárogillii 	leat elvemunning dahje osen .
Gielda ferte dál hukset ođđa lanjaid sidjiide daningo lanjat mat 	galge sidjiide 	eai dohkkehuvvon .
Raul eadni balai gal go gánda 	galggai soahtebálvalussii 	.
VUOSTEDEADDU : Dán dokumentáras eai leat nu ollu goansttat , mat 	galggaše dovdduide 	čuohcat : Jos muitalus ieš ii dáidda čuozaše , oaivvilda Min Áiggi árvostalli , gean mielas filbma addá jáhkehahtti gova sámi historjjá deaŧálaš oasis .
Dán dokumentáras eai leat nu ollu goansttat , mat 	galggaše dovdduide 	čuohcat : Jos muitalus ieš ii dáidda čuozase .
Buot dán golbmasa birra heive mu mielas dadjat ná : Ii ovttage eará olbmo oaiviliidda ja daguide dárbbaš eará olmmoš álo leat áibbas ovttaoaivilis , muhto oktiibuot dáid geažil 	galggašii dán 	golbmasii guovddáš sadji sápmelaččaid eatnanlaš girjái .
< P > - jus livčče leamašan < I > veaháš < P > álkkit oažžut dan doaibmat - ja áinnas nu ahte operatiivvavuogádat ( mášiinna mohtur ) ii oalát moivvás go 	galgá dasa 	oahpahit sámegiela .
Gurssa sirde deike davás , danne go beassážiid maŋŋá 	galggašedje ohppiide 	gávdnot hárjehallansajit Norggas .
Danin go galba 	galggai sámegillii 	, de ii vuoruhan geaidnodoaimmahat ášši .
Dasa lassin go Fermina 	galgá ráđđehussii 	, de jođiha son leaskanissoniid organisašuvnna , mii galgá bearráigeahččat álgoálbmotnissoniid iežaset riikkas .
Dalle 	galggašeimmet Sámediggái 	čájehit dan árvvu maid ánssáša , ja fuolahit ahte sápmelaččain lea oadjebas boahtteáigi almmá stuorra ruvkefitnodagaid áitágiidhaga duon boahtimii .
KSS maid šálloša go vierro- ja riekteáddejumi joavkku bargu ii leat gulaskuddanvuđđosa oassin , ja doalaha danne vuoigatvuođa fas máhccat áššái go dát bargu 	galgá gulaskuddamii 	.
Ášši 	galgá máŋgga 	sadjái gulaskuddamii , go njuolggadusat leat oalle garrasat .
GEASA ADDIT : Guovdageainnu russat leat čoaggán birrasiid 4.000 ruvnnu , máid hálidivčče addit ruoššaide , muhto eai dieđe movt 	galget sidjiide 	addit dán ruđa .
Dál leat geargan čoaggimis , muhto dasto eai dieđe movt ruhta 	galgá ruoššaide 	joavdat .
Almmái lei dan geafes nieiddaguoktá bearrašii muitalan ahte 	galge sirkusii 	bargui nuppi bealde rájá , muhto Maiti Nepal fuobmái seammás ahte lei seamma almmái gii láve lágidit nepalalaš nissoniid India fuorravisttiide .
– Dábálaččabut lea ahte áššemeannudeaddjit ieža leat čállán sámegillii áššiid mat 	galget váldolávdegottiide 	, muitala Hætta .
Go áddjá dan gulai , de son dajai gáibmásis : – Dammahat ( duohtavuođas geavahii roavvásat sáni ) , go nie gal viššet dahkat boares olbmuin , de eai 	galgga dutnje 	ge goasse ge šat buđehat šaddat .
Sii eai leat vel lihkostuvvan gávdnat nuoraid gii hálida jođihit searvvi , muhto lohká iežaset bargat dainna vuoiŋŋain ahte nuorat 	galget searvái 	fárrui .
Sis lei garra leahttu , ja ledje ollu vejolašvuođat mat livčče 	galgan mollii 	.
Go son 	galgá bostii 	bussiiguin , de lea šaddan nu gárži ahte ii sáhte murddihitnu go ovdal , muhto šaddá murddihit doarrás .
– Váldoulbmil dáinna oahpuin lea ahte dat 	galgá sidjiide 	veahkkin barggusteaset , vaikko makkár bargguin de ležžet , lohká Utsi .
– Bargiidbellodat ii 	galgga Sámediggái 	!
Ráidu lea máddin boahtán Ruoŧa ja Suoma čađa , ja 	galgá Álahedjui 	loahpalassii mannat .
Aiddobeliid leat oastán dihtorrusttegiid 70 000 ruvnnu ovddas , mii 	galgá media-oahpahussii 	.
Ii leat guhkit go njeallje diimmu dassá go 	galgá studioi 	geahččaladdat manusa , muhto olbmás ii oro hoahppu gal .
Son lea turistaofelaš ja 	galggašii turisttaide 	čájehit miellagiddevaš báikkiid ja vásáhusaid .
Goappaš joavkkut 	galgaba semifinálii 	.
Dat nubbe nieida gii maid 	galggai dán 	dállui , ii lean dan beaivve skuvllas .
MEAHCCEBÁLVALUS BIVDUI : Čiežas Meahccebálvalusas 	galget stádabivdái 	Herman SotkajŠrvii veahkkin goddit getkkiid ja albasa 16c-orohagas .
Plánas celko earret eará ahte boazodoalu beroštumit 	galget ovddabeallái 	geatkki guotteteatnamiin .
Jus lea dárbu geahpidit boazologu eatnamiid ektui , de lei dát 	galgat buohkaide 	čuohcat .
Go soai báhpain 	galggaiga Beaivvášgieddái 	dálvet , de fertiiga snowmobila mielde vuolgit .
Go áddjá dan gulai , de son dajai gáibmásis : – Dammahat ( lei ruovvásammos sátni maid ádjá gievahii ) , go nie gal viššet dahkat boares olbmuin , de eai 	galgga dutnje 	ge goasse ge šat buđehat šaddat .
Ja aiddo lea geigen miljovnnaid nuppástuhttimii , mas maid ohpihii gielddastivrras gulaimet sátnejođiheaddjis ahte dát ruđat eai 	galgga boazodoalliide 	muhto buohkaide servodagas .
Dál lea goitge NSR « riikkastivra mearridan ahte riikkačoahkkin 	galgá Detnui 	.
– Mii eat hálit bellodatpolitihka 	galgat dasa 	seaguhuvvot .
Jus sápmelaččaide galgá sierra filbma , de 	galgá gusaide 	maid
Ándde muitala ovtta dáhpáhusa Vilgona birra go Eanodahkii ledje huksen girku ja 	galge dasa 	oažžut biellu .
Dat nubbi nieida gii maid 	galggai dán 	dállui , ii lean dan beaivve skuvllas .
	galgá filbmamátkái 	, ja čájehuvvo Narviikas , Sætermoenis ja Tromssas skábmamánu álggus .
Dál lea ollu buoret , ii sáhte juhkat šat go 	galgá bargui 	juohke beaivvi .
– Dat gal lea nu darvánan varrii ahte čakčat 	galgá bivdui 	vuolgit .
– 	Galggašin bargomátkái 	ja šattan várra dorvvastit iežamet olbmuide ja doarjjaolbmuide .
– Sámegiel aviissat 	galget sámegillii 	čállit .
Fargga 	galgá studioi 	.
Dál leat olles leahtuin hárjehallamin dassá go 	galget lávdái 	.
Go Gáregasnjárgga skuvla 	galggai jahkái 	virgádit giellalektora dahje eaŋgalas- ja ruoŧagiel-oahpaheaddji dán skuvlajahkái , de njealjis ohce .
Plána mielde livččiimet 	galgan meahcceskuvlii 	Ákšovuonbahtii boahtte mánus .
Go leat válljen guhtemuš govva 	galgá CD-olggožii 	, de váldet oktavuođa suinna gii lea dan ráhkadan .
Mun in oaivvil ahte Sámedikki báhpirat eai 	galgga sámegillii 	, muhto dat ii leat doarvái ahte sámegiella lea dušše jorgaluvvon giellan .
–<\q>Min prinsihpalaš oaidnu valáštallama ruhtadeamis lea ahte NIF dat hálddaša buot ruđaid mat 	galget daidda 	iešguđet ge valáštallanlihtuide ja servviide Norggas , čilge kulturdepartemeantta vuolitdirekteuvra Frode Thomassen .
Odne álgá ge maŋemus seminára gulaskuddanáigodagas mas Sámi Girkoráđđi ovttas searvegottiiguin lea hárjehallan ođđa sámi liturgiija ja sálmmaid mat 	galget dan 	ođđa sálbmagirjái .
Oktiibuot 	galget sálbmagirjái 	gaskal 300 ja 400 sálmma .
– Jos dál ráhkadišgohtet sálmmaid ja nuohtaid , de olleše fárrui , lohká Gaup Gustad , gii lohká maŋŋel dán seminára álgit árvvoštallat guđet sálmmat 	galget girjái 	.
Buvttadeaddji ja manusčálli Marit Sofie Holmestrand muitala ahte prográmmaráidu 	galgá mánáide 	oahpahit dovdat alfabehta , ja valjis gelddolaš dramatihkka ja musihkka lea prográmmas .
Goanstarássešillju lea ain beallemuttos ja 	galggašii čiekčanláhkai 	geassemánnui , jos dálkkit eai leat nu vearrát , lohká Nordlys goanstarássešilju jođiheaddji Nils Kristian Anti .
Dát kurssat 	galget buohkaide 	leat fálaldahkan , ja danin ii leat kursadivat stuoris .
Lea gaskaboddosaš gielddus vuovdit ja geavahit nálástuhtton animálalaš proteiinnaid biepmus mii 	galgá buvttadanelliide 	.
Čáhpot guovlu Olmmáivákkis sáhttá šaddat deaŧálaš ášši ságastallamii makkár eananvuoigatvuođat 	galget sápmelaččaide 	.
Eaktun aŋkke lea ahte bohccot eai 	galgga dasa 	hárjanit nu ahte ii birge šat friddja , johtti ja iešbirgejeaddji gahppalahkan , dadjá Oskal .
• Go 	galggai niidii 	Karen Marit Utsii addit doalu , de ii lean vejolaš dan dahkat go lea
Sátnejođiheaddji lohká váttisin diehtit juste movt ja maid galgá unnidit , muhto ii 	galggašii olbmuide 	goit nu garrasit čuohcat .
– Fertejit geahččalit jurddašallat man láhkái 	galget birasservodahkii 	, mediaide ja earáide dieđihit iežaset áššiid ja oainnuid birra , lohká Varsi .
– Ruđat 	galget sámegillii 	, kultuvrii ja ealáhusaide , ja eai ge politihkkáriid bálkáhuvvon virggiide , beaškalii Pedersen .
VÁLDDI : - Sámediggi berre oažžut eambbo válddi jus olbmuin 	galgá dasa 	leat jáhkku , lohká NSR Geir Tommy Pedersen .
Muhto eai buohkat leat seamma oaivilis man ollu deattu 	galgá čállosiidda 	bidjat .
Ii otná beaivvesge leat áibbas čielgan mii 	galgá njuovahahkii 	.
Goddalusášši 	galgá diggái 	geassemánu 5. beaivvi .
Dalle goit beassá leat mielde mearrideamen gii 	galgá diggái 	.
Vihtta Sis-Finnmárkku sámi suohkana 	galge fitnodahkii 	juolludit miljovnna ruvnno vuosttaš jahkái .
Vihtta Sis-Finnmárkku sámi suohkana 	galge fitnodahkii 	juolludit miljovnna ruvnno vuosttaš jahkái .
Dasa son galgá leat čállán ahte okta vuoddji lei gárremin dalle go 	galggai bargui 	vuosttaš ođđabeaivvi .
