Danin báhce sápmelaččat dávjá 	čohkkát 	iežaset guollehivvodagain
Go šattai čakča eaba čiehkástallan Mattias ja Ánná viesuid gaskka sevnnjodettiin , soai eaba 	čohkkán 	gievkkanbeavddi vuolde ja savkkuhan muitalusaid goabbatguoibmáseaskka .
Eahppikeahttá eanet ain eanet olbmot ávvudišgohtet sámiid iežaset beaivvi , ja dasto geavva vel nu ahte eanet olbmot šaddet kulturvisu tráhppáin 	čohkkát 	.
Lei gal suohtas 	čohkkát 	dollagáttis daiguin eará mánáiguin ja lohkat , muhto nuppi skuvlabeaivvi juo huškkestii oahpaheaddji Mattiasa suorpmaide go son ii čohkkán jaska .
Lei gal suohtas čohkkát dollagáttis daiguin eará mánáiguin ja lohkat , muhto nuppi skuvlabeaivvi juo huškkestii oahpaheaddji Mattiasa suorpmaide go son ii 	čohkkán 	jaska .
Dat 	čohkkái 	muohttaga alde , lei ruoksat , áibbas hillaruoksat dan vilges muohttaga vuostá .
Vuosttaš maid fuomášeigga lei dat rukses cizáš , dat 	čohkkái 	soagis .
Dupmu šattai ahte olmmái šaddá 	čohkkát 	90 beaivvi ja máksit oktiibuot 8000 ruvnno .
– Dál son 	čohkká 	seaŋggas ja geahččaladdá čalmmástit áimmi !
Lámpá čuovggai siste , ja soai oinniiga ádjá 	čohkkáme 	seaŋggas ja čálmmásteame áimmi .
Dat rukses cizáš bázii 	čohkkát 	soahkái mas ledje aitoluotkanan ruonas lasttažat main lei nu njálgga hádja , nu go lasttain lávege árrageasi .
Boahtá dárogielat divššár jearrat váibá go 	čohkkát 	.
Dološ olbmot láveje čohkkejit go váibet , mun dat goit in váibba go beasan 	čohkkát 	!
Juohke beaivve vácciiga soai goitge skuvlii , juohke beaivve 	čohkkái 	dat rukses cizáš vuovdegeainnu alde ja oahpistii sudno Geassegieddái .
– Doamit dál isidat lusa , logai son movttegit áhkkui gii ain lei olggobealde 	čohkkáme 	ja čierrume .
Unná Bieraš 	čohkkái 	ja geahčai spábbačiekčamiid TV:as .
– Diibmu manná vaikko mii 	čohkkát 	jaska !
Láven álo 	čohkkát 	dáid miestagiid mieđábealde ja gođđit .
Nuppe geahčen lea oaivi , ja nuppe geahčen 	čohkkán 	mun .
Vel dan beŋkii nai mas son lávii 	čohkkát 	orui nu váivi go Prinseassa ii boahtán šat .
Muhtun beaivvi go leimmet stoahkame lei Prinseassa fas 	čohkkáme 	álbmotvuovddis .
Moai 	čohkkáime 	oanehaš jávohaga goabbatgeahčen beavddi .
– Juo , mun dat gal gevven feaskárii , muhto dat earát , sii fertejit siste guohcahájas 	čohkkát 	!
Muhto Bustenis ii lean dilli 	čohkkát 	.
Imaštallen go rieban lea nie jállu , 	čohkká 	das .
– Maŋŋel go leat girjji lohkan , 	čohkkát 	várra dovdduin , ahte mii dáhpáhuvai Lewinsky:iin , lei sáhttit dáhpáhuvvat vaikko geainna , muitala Mundal .
Unna Máhteš : – Son 	čohkká 	rámbuvrras ja vuovdá njálgáid .
“ Beaŋkkas ” lea váivi 	čohkkát 	, muhto ii go son dat hedii beasa čiekčat vuolgit ...
Danin mii hálidit eambbo olgun leahket , eat ge 	čohkkát 	seinniid siskkobealde .
Go oanehaš leat 	čohkkán 	ja ságastallan , de fuobmá okta áirasiin ahte son gii su guoras čohkká issorasat lihkada .
Go oanehaš leat čohkkán ja ságastallan , de fuobmá okta áirasiin ahte son gii su guoras 	čohkká 	issorasat lihkada .
– Go juo mii 	čohkkát 	seavdnjadasas vai seastit ruđa , de gal nuolan mun buvssaid , vai seastán buksabađa .
De beassá son láseráigge čákŋalit sisa ja 	čohkkát 	su seaŋgaravddas , nu go juo leage Vákkis málle .
Soai Unn Hegiin čaimmiheaba go lohkaba dán deaivvadeami haga šattašii dušše ruovttus 	čohkkát 	, eai sii oainnat eisege láve káfeain deaivvadit .
Go son rabista heisauvssa , de son oaidná ahte áhkku ain 	čohkká 	doppe .
De son gal jearrá : – Ain go 	čohkkát 	dás ?
Marit Mienna Bongo 	čohkkáda 	maŋábealde ja lea ovttaoaivilis .
Ellen Anne Eira , gii 	čohkkáda 	maŋábealde lea , nu go oaidnibehtet su readdjus , ” Yamaha-fansa .
Omman ii nagot ligget čoahkkinlanja go uvssat leat rabas , ja mii 	čohkkát 	dás ja galbmojit .
De gal nubbi vástida : – Ja don galggašit 	čohkkát 	vovnnas maid hoiggan .
Duopmár jearrá olbmás gii lea duopmostuolu ovddas : – Leat go ovdal 	čohkkán 	giddagasas ?
Dál goit beasat giddagasas 	čohkkát 	ovtta jagi .
De lihkká ja fuobmá , ahte fanas lea gáddeguoras ja dievdu ovddageahčen 	čohkkáda 	.
De bárdni 	čohkkái 	ja biigá bođii ja buvttii biktasiid ja gárvvuhii nala .
Muhto dál in astta šat jurdagiid siste 	čohkkát 	.
Ovlla 	čohkká 	áibbas jaska .
Orru čielggas ahte muhtin gii 	čohkkái 	suohkanstivralanjas giddejuvvon čoahkkimis lea addán dieđuid sutnje geasa ášši guoská , čállá Turi .
Dál ii leat go sávvat ahte jođánit fas bivalda , dás biejus gos mun 	čohkkán 	.
Su balddas 	čohkká 	issoras gassa olmmái .
Mun nu liikon dán sugadanstuolus 	čohkkát 	...
Viidáseappot bivdá Hetta reivves ahte teknihkalaš ossodaga hoavda Sten Olav Hætta rievdada ossodaga telefunvástidanvieruid , dahje ásaha ovtta liige telefuvnna dan latnjii gos bargit lávejit 	čohkkát 	go eai oro berošteamen riŋgemis .
Nubbi dieđusge suhttá , ja vástida : – Juah , ja don livččet galgan 	čohkkát 	das !
Go oanehaš leaba 	čohkkán 	, de álgá nubbi boagustit .
	Avvir –
Veallát čihkosis Bivdi viežžala duljiid man alde sáhtte 	čohkkát 	.
Beaivváš goardá ain , ja dál letne čilas 	čohkkán 	30 minuhta , ii oktage loddi leat oidnon .
– Buot mearkkat leat dihtorvuorkkáide biddjon ja jáhkán livččii doarvái jus mat das 	čohkkášedje 	juristtat dahje láhkadovdit ja meannudit mearkaohcamiid , lohká son ja oaivvilda ahte dat vuogádat livččii vuoiggaleamos buot mearkaohcamiidda .
Nu guhká go mii , opposišuvnnas , eat 	čohkká 	beaivválaččat daiguin dokumeanttaiguin , de lea bahá vajáldahttit .
Báhcá go suohkan de maid 	čohkkát 	čorgenrehkegiin maŋŋel ruvkedoaimmaid ?
Go fitnodat reastaluvvá , de dat ii gávdno šat , ja de sáhttá juogo suohkan dahje eananeaiggát báhcit 	čohkkát 	rehkegiin , dadjá Hætta .
– Mis lea stuora lávvu gos olbmot sáhttet 	čohkkát 	, eai čuoikkat goit boađe dola lusa , dadjá Buljo .
Lei unnán olmmoš , muhto sii besse 	čohkkát 	tealttás dahje lávus , nu ahte suodji sis gal lei , muitala Buljo .
Eat mii dáppe Sámi Dáiddárráđis sáhte dušše 	čohkkát 	ja vuordit mearrádusa , dadjá Kåven .
— Dat lea álkit njunnálagaid 	čohkkát 	ja háleštit go telefovnna bokte .
– Lea hui buorre , jos in ipmir dahje máhte ovtta bihttá , dalle in dárbbaš guhká 	čohkkát 	ja jurddašit movt dan galgá bargat , de lea hui buorre go eadni lea veahkkin , dadjá Marja Sofe .
Fierpmádaga hukseme Kaisa Rautio Helander , gii 	čohkká 	Sámi allaskuvlla lágidanlávdegottis , muitala ahte konferánssa ulbmil lea hukset ođđa fierpmádaga sidjiide geat barget eamibáikenamaiguin iešguđet guovlluin máilmmis .
– Ferte lohkat iežas inhabiilan jus bohtet áššit mat gusket alcces dahje stivrii mas 	čohkká 	, dahje ferte muhtun eará meannudit ášši .
Vuordime vástádusa Outi Snellman , gii 	čohkká 	University of the Arctic internašunála čállingottis , lea gulahallan Monaco prinssain , ja muitala ahte Prins Albert II lea dadjan ahte boahtá , muhto son gáibidii ahte galget sáddet formálalaš bovdehusa sutnje .
Finnmárkku stuorámus njuovahaga eaiggát , Thor Aage Pedersen Deanus , cuiggodii hui oanehaččat fálaldaga ja dajai ná : – Gulastin leat fállan daid buriid biergguid oastit , ja njuovahat galgá báhcit váibbatbiergguiguin 	čohkkát 	.
Gávcci jagi Per Oskar Kjølaas leamaš bisman dál váile gávcci jagi ja sáhttá 	čohkkát 	vel nuppi gávcci jagi , go 62 jahkásaččas lea vejolašvuohta joatkit gitta 70 jahkái .
– Mun imaštan vuoruheami go girkodulka leai maid doaluin , muhto dattege ii jorgaluvvon , čujuha Johansen , gii nuppe dáfus ádde ahte leai fanahit ipmilbálvalusa mánáide menddo guhkkin ja váttis sidjiide 	čohkkát 	jaska .
Jus ii ieš leat sáhttán SPR stivračoahkkimiidda vuolgit , de lea sádden várrepresideantta su ovddastit go son maid 	čohkká 	Sámediggeráđis ja dušše ráđđelahtut sáhttet su ovddastit SPR stivrras .
– Dát leai hui váttis ja váivves ášši , mieđiha Hartvik Hansen Deanu Oktasašlisttus , mas son dál 	čohkká 	okto gielddastivrras .
– Mannan vahkku leat mii 	čohkkán 	Rema 1000 feaskáris gaskal bealnjealji ja guđa , mánnodagas duorastahkii .
Vánhen lea skohteriin boahtán viežžat min ja sus ii leat reahka mas lea goavdi man vuolde bargit ja mánát galget 	čohkkát 	, nu go mohtorjohtolatláhka gáibida , eai ge leat suddjengahpirat , muitala Jannok Eira mot mánáidgárdi gártá rihkkut lágaid ja joatká eambbo muitalit : – Das ii leat doarvái ; go de ollejit ealu lusa de lea áigi njoarostit gitta niestebohcco , maid goddit ja njuovvat vai oažžut giđaniestti .
– Ii go muhtin sáhte dahkat dáinna maidege , go mis vuojahalloje birrasiid 30 bohcco diibmá , ja dainna gal eat sáhte 	čohkkát 	iige dahkat maide .
Son čilge maiddái kantuvrras lea hui heajos sadji , go son 	čohkká 	guovdu láhtti , ja masa juo eará oahpaheddjiid askkis .
– Lea hui unohas guovdu láhtti 	čohkkát 	gokko olbmot joreštit ovddas maŋos , ja dat muitala ieš alddis juo ahte dáppe ii leat bargoráfi , lohká Steinlein .
Muhto ii han vázzi olmmoš nagot dahkat maide navdái , mii 	čohkká 	ja fákte doppe .
– Sámediggi ii sáhte šat 	čohkkát 	ja geahččat , ja go Sámediggi ii dieđe geainna galgá oktavuođa váldit , iige okta ge váldde oktavuođa Sámedikkiin , de lea váttis gulahallat singuin , lohká Vibeke Larsen .
– Mii eat leat dál šat geahččan dan nu dehálažžan ahte galget boazobargit orohatstivrras 	čohkkát 	, mii leat baicca ohcan orohagas resursaolbmuid , geat beaivválaččat eai leat boazodoalus , muhto lea oahppu eará guvlui , ja sin válljen stivrii .
Olu bargu Joar Henning Hætta , gii hoigá muohttaga luottaid alde Kauto Maskin ovddas , lohká ahte lea olu bargu leamaš dán vahkku ja leat šaddan čađat 	čohkkát 	mašiinnas .
Sis-finnmárkulaččat , geat galgaba 	čohkkát 	guokte vahkku Ruoŧa háldogiddagasas , sáhttiba áššehuvvat ja beassat vuolgit ruoktot .
Doaivu áššehuvvot Advokáhta guovttos lohkaba ahte lea duođalaš ášši mas dievddut leaba áššáskuhtton , go jus dubmehallaba roavva veahkaváldima geažil , de šaddaba unnimusat 	čohkkát 	njeallje jagi giddagasas .
Ođđa doaibmi boazodoallohoavda , Jan-Yngvar Kiel , lea Troandima gielddaráđđi ja lea 	čohkkán 	ovtta jagi Boazodoallostivrras .
Mun lean dattetge 	čohkkán 	jagi Boazodoallostivrras , ja beassan oahpásmuvvat hálddahusain , ja dieđán doppe leat olbmot geain lea máhttu .
Mu oainnu mielde livččii son galgan boahtit gaskii ja dasa lassin váidit falleheaddji iežas bargoustibiidda , muhto son dušše 	čohkkái 	skohtera alde , iige dahkan maide .
Ášši duođaleabbun Nubbi dán guoktásis geat 	čohkkába 	háldogiddagasas Jielleváris , Ruoŧas , dutkojuvvo ge dál njealji politiijaide váidojuvvon veagalváldimiid dihte – guokte Ruoŧas ja guokte Norggas .
Muhtumat šaddet measta beare duostilat neahtas , ja dan lea hui álki go 	čohkká 	dihtora ovddabealde ja čállá .
– Dán álbmotčoahkkima panelii eat leat fuollan ovtta ge politihkkara , go das galget 	čohkkát 	aivve fágaolbmot , nu go earret eará politiija , psykologa ja doavttir .
Jus bohccot livčče heahtedilis de gal livčče nelgon dieid duollobáhpiriid báldii , dadjá son ovdal loahpaha himáhallamiin : – Dáiddán šaddat vel 	čohkkát 	nai , go juo dullohallen fuođđariiguin .
Mii lea erenomáš dehálaš , lea jus vearredahkki maŋŋá dan vearredagu leamaš divššu vuolde , ferte máŋgga oktavuođas váldit dange vuhtii amas ii bilit dan divššu , ja dalle máŋgii geavahuvvo servodatráŋggáštus dahje oažžu diekkár evttolaš duomu ahte ii dárbbaš 	čohkkát 	giddagasas .
Soai leaba dan rájes 	čohkkán 	háldogiddagasas Jielleváris .
Guhkiduvvui vahkuin Jiellavári diggeriekti mearridii ikte ahte dievdduguovttos šaddaba ain 	čohkkát 	háldogiddagasas gitta boahtte disdahkii .
– Soai leaba ain giddagasas danne go váruhuvvoba vearredagus ja šaddaba 	čohkkát 	njukčamánu 15. beaivái .
Ávvir jearrá ahte jus váruhuvvon dievdduguovttos áššáskuhttojuvvoba boahtte disdaga , šaddaba go de 	čohkkát 	dassážii go ášši boahtá duopmostuolu ovdii .
– Ruoŧas lea nu ahte jus áššáskuhttin mearriduvvo , de šaddet sii geat leat váruhuvvon bahádagus ja geat leat háldogiddagasas , 	čohkkát 	dassážii go ášši lea duopmostuolu ovddas .
Dievdoolbmoguovttos , geat leaba Finnmárkkus eret , leaba dan rájes 	čohkkán 	háldogiddagasas Jielleváris .
Diggerievtti mearrádus ahte áššáskuhttit dievdoolbmoguovtto máksá ahte soai šaddaba ain 	čohkkát 	háldogiddagasas goit dassážii go ášši lea diggerievttis meannuduvvon .
– Dát govviduvvo bures go YLE hálddašanráđi ságadoalli , gii maid 	čohkká 	YLE njunnošis Riikabeivviid dásis , dajai ahte « sámegielat leat nu unna gielažat ahte eat bija deattu daidda » .
Eai máhte gulahallat Árjja stivrra čállá earret eará ahte sin áigumuš lea rahpat Sámedikki álbmogii , go álbmot ánssáša Sámedikki mii gulahallá iežas jienasteddjiiguin ja báikegotteolbmuiguin , eai ge dušše 	čohkká 	gitta uvssaid duohken Oslo hearráiguin .
Go mu bárdni 	čohkká 	olgoriikka giddagasas , ja bivdá mus veahki , go oaidná dikkis su vuostá boasttuvuođaid dahkkon , muhto in mun bastte in moktege bargat , lohká son measta čieročalbmái .
– Mu mielas lea mu bárdni dego Ruoššas 	čohkkáme 	giddagasas , muhto de livččen dieđus gal maid ipmirdan ahte lea heajos dilli , jus Ruoššas livččii .
Áiggun maid rámidit su gii giddagasas 	čohkká 	, dovdá boasttuvuođaid dahkkon su vuostá , muhto lihkka gávdná fámu bargat áššiin ja čujuhit boasttuvuođaid , rámida son bártnis vel loahpas .
Go mu bárdni 	čohkká 	olgoriikka giddagasas , ja bivdá mus veahki , go oaidná dikkis su vuostá boasttuvuođaid dahkkon , muhto in mun bastte in moktege bargat , lohká son measta čieročalbmái .
– Mu mielas lea mu bárdni dego Ruoššas 	čohkkáme 	giddagasas , muhto de livččen dieđus gal maid ipmirdan ahte lea heajos dilli , jus Ruoššas livččii .
Áiggun maid rámidit su gii giddagasas 	čohkká 	, dovdá boasttuvuođaid dahkkon su vuostá , muhto lihkka gávdná fámu bargat áššiin ja čujuhit boasttuvuođaid , rámida son bártnis vel loahpas .
Nu áktor oaivvilda ahte son galgá 18 000 ruvnnuin sáhkkohallat dahje giddagasas 	čohkkát 	36 beaivvi go lea rihkkon mohtorjohtolatlága .
Nu áktor oaivvilda ahte son galgá 18 000 ruvnnuin sáhkkohallat dahje giddagasas 	čohkkát 	36 beaivvi go lea rihkkon mohtorjohtolatlága .
Sis-Finnmárkku diggegoddi celkkii ahte 19 jahkásaš dievdu dubmehallá 60 beaivvi giddagassii , beali das galgá son 	čohkkát 	ja 30 beaivvi lea evttolaš giddagasas mas lea guokte jagi geahččalanáigi .
Nu oaččui Sara vuoliduvvot sáhku 1000 ruvdnui , dahje 	čohkkát 	guokte beaivvi giddagasas .
– Mun ledjen dás ruovttus 	čohkkáme 	go fuobmájin NRK Sámi biilla vuodjime meaddel .
– Mun ledjen dás ruovttus 	čohkkáme 	go fuobmájin NRK Sámi biilla vuodjime meaddel .
Gitta uvssaid duohken Egil Olli ii loga maid diehtit daid gitta uvssaid duohken máid duohken Árja čuoččuha Sámedikki politihkkariid 	čohkkát 	ja mearrádusaid dahkat .
Vuoitolávlla lávlaga lea ruovttus 	čohkkát 	ja geahččaladdat , seaguhit gielaid , dukkoraddat sániiguin ja hárjehallat garrasit .
Somby jáhkká Hætta hálit ahte ISF stivrras dušše galget 	čohkkát 	politihkkárat Finnmárkku Fylkkagielddas , Sámedikkis ja Guovdageainnu suohkanis .
Duogáš cealkámuššii , maid Somby buktá , lea árvalus ahte SFS láhtut eai galgga beassat 	čohkkát 	ISF stivrras ja ahte Hætta lea geahččaleamen oažžut eretSFS nammadeaddji ISF stivrras , čilge Siljá Somby .
— Ii leat sáhka leamaš ahte politihkkárat galget 	čohkkát 	stivrras .
Dieđusge galget sii , geaiguin lea filbma gelbbolašvuohta , 	čohkkát 	stivrras , dadjá Hætta .
Vuolab mielas čuovvu gielda almmolašvuođalága go buohkain lea vejolaš daid almmolaš báhpáriid oaidnit , ja lohká lágas ii čuoččo ahte olbmot besset ruovttus 	čohkkát 	ja lohkat interneahta bokte daid báhpáriid .
Čuodjagohte telefuvnnat beal oktanuppeloht áigge ja das rájes lean 	čohkkán 	telefuvnna bálddas .
Sii leat aiddo 	čohkkán 	olles beaivve politiijakantuvrras , gosa leat dieđihan ášši .
Hupmet daid ilgadis áššiid birra mat leat dáhpáhuvvan ; ii okta ge galgga dárbbašit akto 	čohkkát 	jurdagiiguin , ávžžuha Olli .
Inge dál astta hupmat , go 	čohkkán 	várdánsajis , lea vástádus maid Anders Nils J. Eira vástida .
– Jus mii dal joatkit vuovdimiin , de ii njuolgga márkan goassege ja de bállejit kilohatti njeaidit dađi eanet jagis jahkái ja loahpas 	čohkkát 	mii 5 kr. kilohattiin , ballá Eira .
Vaikko son dákko ii vuoitán luohpi sátnejođiheaddji vuostá , de dat ii vuorjja – Lea hui lunddolaš ahte olbmot , geat leat 	čohkkán 	posišuvnnas , ožžot doarjaga dákkár jienaid bokte , ja dat lea mu mielas buorre , lohká Hanssen .
Galmaja muitala váldán oktavuođa bajimuš hoavddain , gii logai ahte ii dieđe sisáibmoáššiin maidige , go 	čohkká 	kantuvrras .
Dát maid čájeha ahte ii leat dearvvašlaš servvodahkii go okta olmmoš 	čohkká 	menddo guhká sátnejođiheaddjin go loahpas dego čalmmehuvvá .
50 000 ruvnnu Bargojoavkkus mii bargá eastadeaddji doaimmain 	čohkká 	politiija , SANKS , Leavnnja joatkkaskuvla , Bearrašiid viessu , Leavnnja skuvla , Porsáŋggu gielda ja nuoraidráđđi .
Heajos vuohki Porsáŋggu ovddeš sátnejođiheaddji , Mona Skanke , gii lea 	čohkkán 	bargojoavkkus ja ieš maid čohkken dan , lohká heajos vuohkin gielddas guođđit ovddasvástádusa nuoraide .
Lossa ášši Alf Johansen lohká su mielas leamašan hui lossadin 	čohkkát 	Boazodoallostivrras dán áigodagas , go gártá váldit dákkár mearrádusaid man allat galgá leat boazolohku .
Ovdamearkka dihte lea okta muitalan ahte huškojuvvui spiikkárfielluin bahtii nu ahte ii sáhttán máŋgga beaivái 	čohkkát 	ja buvssat darvánedje rabas háviide .
Buorre jáhkku Sátnejođiheaddji ii juoge sin balu geat ballet suohkana báhcit 	čohkkát 	stuora loanain .
– Vuosttaš jagi go álggahii iežas fitnodaga 	čohkkái 	bajis ijatbeaivvi , illá mun oidnen su , dadjá Áslat Simma , gii lea sivalaš dasa go Erica guhte lea bajásšaddan beahcevuovddis Duortnosleagis , lahka Suoma ráji , bisánii Áđevuopmái .
– Mii háliideimmet addit juoidá Máze vuorrasiid doaibmaguovddážii , vai sii besset eará bargat go dušše gaskabeivviid boradit ja 	čohkkát 	go leat doaibmaguovddážis , lohká Máze gilisearvvi jođiheaddji , Klemet JO .
Álgoálbmogat besset 	čohkkát 	seamma beavddi birra go našunála jođiheaddjit , ja ovdanbuktit álgoálbmogiid oainnu , nu go árktalaš našuvnnat , muitala Cochrane .
– Buolli somá The BlackSheeps joavkku vokalistta , Agnete Johnsena , áhčči Arild Johnsenii lei stuora dáhpáhus 	čohkkát 	sálas finálaeahkeda Århusas Danmárkkus : – Dan leat váttis čilget , go dat lei nu hirbmat stuoris .
