 ¶
eallimii fridja servodagas , deattuhit 	ádde 	 ¶
Dás sáhttá buohtastahttit dainna ahte mii boahtte gielddastivrračoahkkimis galgat miljovnnaid juolludit omd. basseŋgii , ja gielda lea vaikko man gallii dorjon Karasjok Produktera heahtedilis ja go gielda vel min jiena vuostá attii Leavnnja golfbánii ruđa , de in 	ádde 	eará go ahte bargiidbellodagas ii datte leat dáhttu doarjut boazodili . ¶
– Departemeanta lea ieš leamaš mielde proseassas , nu ahte mun in 	ádde 	dán čuoččuhusa , lohká Smuk Rollstad . ¶
Ii oktage 	ádde 	manne ná lea geavvan . ¶
– Sivvan dasa lea go doaktárat ja eará dearvvašvuođabargit eai 	ádde 	ahte pasieanta dárbbaša dulkka , lohká son . ¶
In 	ádde 	manne boarrásat galget gillát gieldda stajidemiin . ¶
Sketšaid áddejit diehttelasat báikkálaš olbmot buot buoremusat , muhto Betten lohká gal iežaset smiehttan maiddái earáid birra geat eai 	ádde 	sin siskkáldas humora . ¶
In 	ádde 	ahte gávdnojit olbmot geain lea váttisvuohta dainna . ¶
– Dát gánddat ovddastedje Kárášjoga gieldda ustitvuođagielddas Lujávrris , muittuha Larsen , gii ii 	ádde 	manne teknihkalaš ossodat sáhttá duššin dahkat ovdalaš mearrádusa . ¶
In 	ádde 	go hálddahusas eai nagot gulahallat ja sirddášit ruđaid gaskaneaset . ¶
In 	ádde 	ahte dat lea lágalaččat oba dohkálaš ge . ¶
– In 	ádde 	manne livččen luomus galgat váldit skuvlastivrrain oktavuođa . ¶
Dál várra šaddá vel vearrát , ballá Rasmus gii ii 	ádde 	manne Kárášjoga gielda ii váldde vuhtii iežas ássiid . ¶
– Jánoš ii 	ádde 	demokratiija ¶
Nystad ja Eira Meløy eaba 	ádde 	Kåvena duhtameahttunvuođa . ¶
– Tekrø lohká ahte Intrigue lea nana buorre rockjoavku , vaikko vel ii 	ádde 	ovttage sámegiela sáni de heive giella erenoamáš bures rockmusihkkii ja go fárrolagaid lávlut , lohká Tekrø . ¶
II ÁVKI : Sámegielmediain ii leat ávki midjiide geat eat 	ádde 	sámegiela ja dat lea boastut , lohká SVL-áirras Ove Johansen . ¶
– In jáhke ahte HIV-positiiva dieđut addet buori beavttu servodahkii , ja in 	ádde 	manin Deanu doavttir Winterfeldt almmuha dáid dieđuid . ¶
– Mun in 	ádde 	manin sápmelaččat áigot ođđa bivdosearvvi álggahit . ¶
– Vuosttažettiin lea otná sámepolitihkkáriin issoras váttes giella maid nuorat eai 	ádde 	. ¶
NSR politihkkárat hállet prinsihpaid birra ( mu eadni ja áhčči ja nuorat jienasteaddjit eai 	ádde 	mat bat prinsihpat leat ; beare sátni lea váttis ja amas ) . ¶
Leat ollu behtton go eiseválddit eai leat doallan ekonomalaš lohpádusaid , ja daid oallut njuolggadusaide main eai 	ádde 	. ¶
	ÁDDE 	BURES : Klemet Amund Eira mielas lea issoras jus njálbme- ja guoberdávda njoammu bohccuide . ¶
Son 	ádde 	bures manne leat gieldán herggiid fievrredit rastá riikarájiid . ¶
II 	ÁDDE 	. ¶
Elliidgáhttedeaddji ii 	ádde 	 ¶
– In 	ádde 	manne boazodoallu lea nu vuostá ahte galget leat roassovuorkkát , ja eai ge gotte eret bohccuid mat duođaid nelgot , lohká Torriesen . ¶
II 	ÁDDE 	: Davvi Girjji beaivválaš jođiheaddji Brita Kåven ii ádde makkár ákkaid Magnhild Mathisen geavaha go áiggošii dáža lágádusaid váikkuhit buvttadišgoahtit sámigiel girjjiid . ¶
II ÁDDE : Davvi Girjji beaivválaš jođiheaddji Brita Kåven ii 	ádde 	makkár ákkaid Magnhild Mathisen geavaha go áiggošii dáža lágádusaid váikkuhit buvttadišgoahtit sámigiel girjjiid . ¶
– Mu suhttadit dákkár politihkkárat geat vigget čilget áššiid maid datte eai 	ádde 	, nugo Magnhild Mathisen , dadjá Davvi Girjji beaivválaš jođiheaddji Brita Kåven . ¶
Su mielas gal lea Mathisena jurdda endorii dan dihte go ii 	ádde 	man birra lea dadjan Sámedikki dievasčoahkkimis ikte . ¶
Rektor Marjatta Niitovuoppio ii 	ádde 	movt dát issoras dáhpáhus sáhtii dáhpáhuvvat bearrašiin . ¶
Son ii 	ádde 	movt dákkár dáhpáhus galgá leat deaividan dán bearraša . ¶
Son 	ádde 	go boazodoalliid mielas lea eahperehálaš go šaddet máŋgga gildii máksit duoppardivvadiid . ¶
Girjjálašvuođačeahppi Harald Gaski ii 	ádde 	Sámedikki árgivuođa árbevirolaš sátnevájasgeavaheamis . ¶
lean beare dás , dannego ii oktage 	ádde 	. ¶
– Ahte UDI hálida sáddet min ruovttoluotta dien dillái eat 	ádde 	. ¶
Ii buot mii orru amas , leat dušši Go ieža eat álo 	ádde 	ođđa dáidaga , eat dattetge galgga ovddidit kulturpolitihka , mii hehtte ođđa ráhkadeami . ¶
Bisma 	ádde 	sin dili ja čállá reivve bearraša ovddas UDI:i . ¶
Mánáide lea álkit logastit velá dárogielat oasi , jos eai 	ádde 	sámegiel teavstta . ¶
Stáhtadovdi JŽsus Silva Herzog ii 	ádde 	dáid guottuid . ¶
John Henrik Eira ges ii 	ádde 	manne dievasčoahkkinlanjas lea lávu hápmi . ¶
Sámediggeráđi áššejođiheaddji Johan Mikkel Sara gal ii álggage 	ádde 	moaitagiid . ¶
– Lea ovdamearkka dihte olu álkit fievrridit narkotihka suollemasat , plánet báhtaremiid dahje eará vearredaguid jos bálvvát eai 	ádde 	maid fáŋggat hállet , ákkastalai Justis- ja politiijádepartemeantta kriminalfuolahan ossodathoavda Elisabeth Barsett Min Áigái skábmamánus . ¶
Porsáŋggu sátnejođiheaddji ii 	ádde 	veaháge manne Sámediggi dál juo lea juolludan 250 000 ruvnnu mearrasámi gelbbolašguovddážii Billávutnii . ¶
Ja mun gal in 	ádde 	makkár vuođu alde lea Sámediggi dál juo juolludan 250 000 ruvnnu dán prošektii . ¶
– Lea ovdamearkka dihte olu álkit fievrridit narkotihka suollemasat , plánet báhtaremiid dahje eará vearredaguid jos bálvvát eai 	ádde 	maid fáŋggat hállet , lohká Elisabeth Barsett . ¶
Robertsen 	ádde 	ahte sámi mediat lea sierra dilis , eai ge nagot ceavzit stáhta veahki haga . ¶
Ja mii eat 	ádde 	manne mii galgat ráŋggáštuvvot earáid dahkamušaid ovddas . ¶
Lea oalle imaš politihkka Olgešbellodagas , ja dat boahtá váikkuhit erenoamáš garrasit mearrasámiide , geain eatnasat eai máhte , eai ge 	ádde 	lohkat sámegiela . ¶
Son lohká baicca ahte ii 	ádde 	maid nuortalaččat háliidit . ¶
– Bissehin Nikkinen dan botta go jerren gallis guldaleaddjiin eai 	ádde 	sámegiela . ¶
Sin dihtii geat eai 	ádde 	sámegiela , áiggun dál joatkit dárogillii . ¶
– Suohkan ii 	ádde 	 ¶
Dáiddárat eai 	ádde 	Finnmárkolága ¶
In 	ádde 	manne Sámediggi galgá bázahallat politihkalaš máilmmis . ¶
In oba 	ádde 	ge manne mun lean nominerejuvvon . ¶
– Son doarju mu ja 	ádde 	ahte in gille viehkat olggos sisa čoahkkinlánjas . ¶
- Eat diehtán ná šaddá , eatge leat ráhkkanan ge dásá , go leamaš olu sáhka priváhtanjuovahagaid ja ođđa njuovahagaid birra , lohká Pedersen gii 	ádde 	badjeolbmoid jierásnuvvan . ¶
Vuolab duođaid doaivvušii ahte ássit guldalit sin , vaikko son 	ádde 	manne njuoskadit bealdduid ja stunžejit lávggudanbasseaŋŋain . ¶
- Jerren maid politihkkárat áigut dahkat dáinna go min oahpahus šaddá dárogillii dušše danne go okta dahje moattis eai 	ádde 	sámegiela , lohká Sire Fors Grønmo . ¶
Ii okta njeallje jahkásaš nieiddaš guit 	ádde 	manne šaddá báhcit . ¶
Dan ii 	ádde 	ollesolmmoš ge , lohká son . ¶
In 	ádde 	manin Ann-Mari Andersen lea válljen risttalaš lávlavga “ Divt mu vadjolit duinna ” dán CD:i . ¶
Dáiddárat eai 	ádde 	Finnmárkkulága ¶
< * > vuogimiel`dieđud Finnmárkkulágas , mii čohkke osiid eret lágas , nu ahte dan 	ádde 	stuorát oktavuođain . ¶
Leat dieđus doahppagat luossabivddus maid olbmot eai šat dál 	ádde 	, muhto girjjis lea sátnelistto gos dát čilgejuvvo dárogillii , muitala Solbakk . ¶
Son 	ádde 	gal manne erenomážit Norgga Sámiid Riikkasearvi lea beahtahallan . ¶
Reinert ii 	ádde 	manne juste biffa bierggut leat báhcán . ¶
Persen muitala ahte ollusat eai 	ádde 	manne eiseváldit addet lobi hukset 15 barta suodjaluvvon guvlui , muhto báikkiolbmuid eai suova viežžamis maide iežaset eatnámiin , ja guhkkin eret hukset . ¶
Diehtojuohkinhoavda Ottar Løvik 	ádde 	bures ahte Sponheim garra cealkágat sáhtet boktit ealáhusa siskabealde bággonjuovvan spekulašuvnnaid , muhto liikká ii sáhte dadjat eambbo konkrehta . ¶
Advokáhta Kjetil NIlsen lohká guorahallan ášši dokumeanttaid ja daid vuođul ii 	ádde 	manne politiiját sáhttet čuoččuhit ahte su klienta lea leamaš mielde suoladeamin 500 bohcco . ¶
Dađibahábut leat ollu váhnemat , geat eai obá 	ádde 	ge mot narkotihka leavva nuoraid birrasis , várre Næss . ¶
– In 	ádde 	mot boazodoaloeiseváldit leat jurddašan ealuid unnidit . ¶
- Eat diehtán ná šaddá , eatge leat ráhkkanan ge dásá , go leamaš olu sáhka priváhtanjuovahagaid ja ođđa njuovahagaid birra , lohká Thor Aage Pedersen gii 	ádde 	badjeolbmuid jierásnuvvama . ¶
Trond Biti 	ádde 	bures ahte ollu ođđa doalut sáhttet fas álggahuvvot Finnmárkui , gos juo leat beare ollu bohccot ja olbmot ealáhusas . ¶
Terje Tretnes duođaid ii 	ádde 	gosa luossareiveeaiggádat leat jođus ja máid oaivvildit . ¶
KLIKK , KLIKK , KLIKK : Hollánddalaš tursitta guovttos Johannis Pieter Marinus ja Adriana Jacoba Dirkje eabá 	ádde 	manne Hammerfeasta suohkana njunnožat hálidit buot bohccuid jávkkadit gávppogis . ¶
In 	ádde 	maidege ! ¶
Don it oba 	ádde 	ge man garrasit časkkiiga ! ¶
In 	ádde 	maidege ! ¶
Don it oba 	ádde 	ge man garrasit časkkiiga ! ¶
In 	ádde 	maidege ! ¶
Don it oba 	ádde 	ge man bávččas lea ! ¶
Ráđđehus ii 	ádde 	Finnmárkku ja Dávvi-Romssa hástalusaid ¶
Dan sii dahket vaikko eai 	ádde 	sámi kultuvrra iešvuođa . ¶
– Eará čeardda olmmoš ii 	ádde 	ollu iige halit áddet sámi kultuvrras . ¶
Dan sii dahket vaikko eai 	ádde 	sámi kultuvrra iešvuođa . ¶
– Eará čeardda olmmoš ii 	ádde 	ollu iige halit áddet sámi kultuvrras . ¶
Oahpahus ja Bajásšaddanossodaga hoavda Reidar Erke 	ádde 	ahte reivve lea čuohcan soapmásiidda . ¶
- Ádden ahte muhtimiid mielas lea prinsihppaášši , muhto in 	ádde 	ahte ná garra riiddu lea álggahan . ¶
SVL ferte ieš vuoruhit makkár valáštallama sii hálidit vuoruhit , lohkká Hætta , muhto 	ádde 	gal ahte lea váttis vuoruhit ruđa go ii leat go 550.000 bušeahtas . ¶
Hástala politihkáriid Váikko Odd Pedersen muhtun láhkai 	ádde 	gieldda politihkáriid , de son lihkká ii jáhke leat buorre gildii jus nagudit jávkadit bohccuid eret Hámmarfeasttas . ¶
Ii 	ádde 	Sámedikki Su mielas lea váttis áddet maid Sámediggi oaivvilda . ¶
Iige son 	ádde 	manne nuorat leat bargguhisvuođas go sáhttet tiinet badjel 30.000 ruvnnu mánotbottus . ¶
Dutki Jorma Kuusela 	ádde 	ahte Deanuleagi luossabivdit leat balus . ¶
Son ii moktige 	ádde 	Steinar Pedersena ákkastallama . ¶
Son 	ádde 	bures jus váhnemat lohket dili leat dohkketmeahttun go ballet suomagiela vuoitit duohkokraddangiellan jus suoma- ja sámegielat mánát duhkoraddet ovttafáru . ¶
Son 	ádde 	bures jus váhnemat nimmorit ja oaivvildit suomagiela vuoitit duohkokraddangiellan jus suoma- ja sámegielat mánát duhkoraddet ovttafáru . ¶
Mun doaivvun beare ahte Lene 	ádde 	gárvit Riddu ja Markku . ¶
Muhto manne muhtin hirbmástuvvá go muhtin gánda nagoda gukte láiva aspargesa bidjat ruossut doarrás , ja veahá sovssa vel diškalit lihtái , in 	ádde 	mun . ¶
Muhto manne muhtin hirpmáhuvvá go muhtin gánda nagoda guokte láiva aspargesa bidjat ruossut doarrás , ja veahá sovssa vel diškalit lihtái , in 	ádde 	mun . ¶
Šallošahtti , muhto duohtavuohta lea ahte eatnašat Norggas eai 	ádde 	sámegiela . ¶
Son ja su bargoskihppárat eai 	ádde 	Norgga dehálamus ođasdoaimmahusa Dagsrevyen oainnu sámegiela ektui . ¶
Son ii 	ádde 	manne NSR vikkaha SÁB ovttasbargoguoibmin politihkas . ¶
In oba 	ádde 	ge manne mun lean nominerejuvvon . ¶
Mun doaivvun beare ahte Lene 	ádde 	garvit Riddu ja Markku . ¶
Persen muitala ahte ollusat eai 	ádde 	manne eiseválddit addet lobi hukset 15 barta suodjaluvvon guvlui , muhto báikkiolbmuid eai suova viežžat maidege iežaset eatnamiin , ja guhkkin eret hukset . ¶
Terje Tretnes duođai ii 	ádde 	gosa luossareiveeaiggádat leat jođus ja máid oaivvildit . ¶
Advokahta Kjetil NIlsen lohká guorahallan ášši dokumeanttaid ja daid vuođul ii 	ádde 	manne politiijat sáhttet čuoččuhit ahte su klienta lea leamaš mielde suoladeamin 500 bohcco . ¶
Sámegiela ii leat oainnat dušše hállagoahtit vaikko 	ádde 	buot , muitaleaba nieiddaguovttos . ¶
- Okta olmmái jearai mus oktii mo dat oba leage vejolaš ahte muhtin gii 	ádde 	buot ii hála sámegiela . ¶
Dađibahábut leat ollu váhnemat , geat eai obá 	ádde 	ge movt narkotihka leavvá nuoraid birrasis , várre Næss . ¶
– Dál in 	ádde 	manne vuorddihit , go dadjet álo ahte biergu johtá dego vuodjaláibi , imašta Anti . ¶
Mii eat 	ádde 	leago sáhka heaittiheamis ja jus ii leat , de lea gažaldat ahte man dásis fálaldaga hálidit bisuhit , lohká Ingrid Smuk Rollstad . ¶
Muhto Finnmárkku dearvvašvuođa stivrajođiheaddji ii lohpit vel dalle ge loahpalaš mearrádusa , vaikko 	ádde 	ahte guhkes meannudanáigi lea giksi . ¶
In 	ádde 	in veaháge maid Sámediggeráđđi áigu sámi vuoigatvuođalávdegottiin go ieža suvvet billistit min ovddas . ¶
In 	ádde 	manne mii galgat dan oba jienastit ge , lohká Nystad ¶
In 	ádde 	mas galggašeimmet ballat , go dál lea baicca váttisvuohta ahte olbmot eai boađe čuovvut mielde dievasčoahkkimiid , lohká Trosten . ¶
– In 	ádde 	 ¶
Bargiidbellodaga Egil Olli ii 	ádde 	manne posišuvnnas leat veardideami giddet lávdegottiid čoahkkimiid . ¶
– In 	ádde 	mas galgat ballat sámi álbmoga ovddas , lohká Olli . ¶
Iige Lars Birger Persen 	ádde 	veahá ge politihkkariid ákkaid , go ballet rabasvuođa dihte šaddat dárbbašmeahttun mediačállosiid . ¶
Ii daga ollus maidege ahte eai 	ádde 	giela , deháleamos lea gaskustanvuohki , jáhkká optimistalaš Gjesvik . ¶
Eanodaga gielddahoavda Pentti Keskitalo ges ii 	ádde 	mas Ohcejoga gielddaráđđehusas jođiheaddji ballá . ¶
Advokáhta Trond Biti Pedersen 	ádde 	gal bures jos Trosten geavaheaš iežasgáhttenparagráfa , muhto ii jáhke Trostena buvttahit gosage dainna . ¶
Vaikko son 	ádde 	bures Viktor Trostena , de son liikka ii leat sihkar ahte sáhttá go dan njuolggadusa geavahit goahtehuksema oktavuodas . ¶
Romssa gieldda Bajásšaddankomitea jođiheaddji Arild Hausberg ( Bb ) 	ádde 	bures manne Romssa sámi searvi gáibida hukset ođđa sámi mánáidgárddi . ¶
- In 	ádde 	manne Kárášjoga ja Guovdageainnu gielda eaba leat váldán min fárrui bargui , moaitá Guovdageainnu sadjásáš sátnejođiheaddji Aslak Anders Tornensis . ¶
II 	ÁDDE 	MII . ¶
Steinar Pedersen ii 	ádde 	manne Kárášjoga ja Deanu gielda dál hábmejit ođđa árvalusa mo hálddašit Deanu čázádaga , eaige geavat Sámi vuoigatvuođalávdegotti árvalusa . ¶
Mii das lea váilevašvuođaid , dan in 	ádde 	, lohká Pedersen . ¶
Sámedikki čoahkkinjođihangotti jođiheaddji Josef Vedhugnes 	ádde 	bures nuoraid moaitagiid . ¶
Mii eat 	ádde 	maid sii galget guorahallat dađi eambbo go maid Sámevuoigatvuođalávdegoddi juo lea dahkan . ¶
- In 	ádde 	balu , vástida sámediggevárrepresideanta ¶
Bargiidbellodaga sámedikkejoavkku jođiheaddji Egil Olli 	ádde 	bures Roger Pedersena balu . ¶
Son ii oabanassiige 	ádde 	Roger Pedersena balu . ¶
– In 	ádde 	man láhkái galggašii álgoálbmotguovllu ovdaprošeaktaraporta heađuštit Finnmárkolága barggu . ¶
	Ádde 	boarrasat olbmuid ¶
JŠrvensivu 	ádde 	ahte boarrasat olbmot Ohcejogas atnet luođi suddun girkus . ¶
– Mus lei baggu eará čoahkkimis leat ja in 	ádde 	movt lean dohkkehan dan dáhtona obanassiige , šállošan , lohká son . ¶
Son aŋkke 	ádde 	ahte eavttut fertejit leat sajis jus oktage eallu galgá johtát . ¶
Dánge cealkaga in 	ádde 	, in veháge ... ¶
Árvideamis dat , guhte máhttá dárogiela 	ádde 	duon cealkaga , muhto suomabeale olbmuide duot dajahus ii leat áddehahtti ... ¶
- In 	ádde 	manne eai fuola fylkkajuoigi . ¶
Deanu gieldda bálvalus- ja diehtojuohkinhoavda Olav Johansen 	ádde 	ahte dárogielat telefonvástideaddjit leat hárdán Saba . ¶
Ii 	ádde 	moaitámuša ¶
Sii eai obage 	ádde 	dán doahpaga . ¶
Sosialistalaš Gurutbellodaga njunuš ja várresátnejođiheaddji Elisabeth Øyen ii 	ádde 	sátnejođiheaddji ákkastallamiid . ¶
Sámedikkeráđelahttu Johan Mikkel Sara ii 	ádde 	mii das lea váttisvuohtan . ¶
Sámedikkeráđelahttu Johan Mikkel Sara ii 	ádde 	mii das lea váttisvuohtan . ¶
Don it 	ádde 	ovttasbargováttisvuođaid mat badjánit ja it leat nu molssašuddi go lávet leat . ¶
– In ge 	ádde 	manne njuovahagat dán heaittiheami dihte nihtet vuolidit biergokiloid 3-4 ruvnnuin , go duohtavuođas masset sullii ruvnno doarjaga . ¶
– In 	ádde 	mas ballet , lohká fylkkasátnejođiheaddji Kirsti Saxi go gullá Oarje-Finnmárkku guovlluráđi mearrádusa Finnmárkkulága ja álgoálbmotsona birra . ¶
Kirsti Saxi gii ovddasta Sosialistalaš Gurutbellodaga ( SG ) , ii 	ádde 	Oarje-Finnmárkku guovlluráđi ákkastallamiid go ballet álgoálbmotáššiin . ¶
Dattetge son 	ádde 	sátnejođiheddjiid go oaivvildit Finnmárkku fylkkagielddas leat menddo ollu spáppat áimmus oktanaga . ¶
Hui dávjá dárbbašit dulkkaid advokáhtaid geažil , go sii eai 	ádde 	sámegiela . ¶
Dattetge son 	ádde 	go Hætta lohká háliidit elihtačikčiid , iige háliit moaitit su vaikko lohká áigut Nordlysa sázastit peannain . ¶
Máilmmi buoremus freestyle motocross ( FMX ) vuoddji áhčči , Mikkel A. Gaup , 	ádde 	bures ahte Min Áigi ii fidne bártnis Ailo Gaup ságaide telefuvdnii . ¶
Helga Pedersen ii 	ádde 	manne NJFF generalčálli dál lea ovddidan dákkár čuoččuhusaid , go lohká sin ja NJFF gaskas leamaš čoahkima mas lei hui buorre gulahallan das man birra lea sáhka . ¶
guhte guldala ja 	ádde 	mu ... ¶
Johanne Gaup 	ádde 	bures ahte ollusiidda sáhttá šaddat ártet go márkánguovdáža čiŋahit , muhto girku gal diktet guovgát guovdu márkana . ¶
Pasieanttat leat vásihan dan ahte doaktárat eai 	ádde 	maidege maid sii hállet , eai sáhte gulahallat dan gillii maid pasieanta máhttá , eaige dovdda systemaid . ¶
Doaibmi sámediggepresideanta Svein Peter Pedersen 	ádde 	bures balu , ja lohpida geahččalit oažžut čoahkkima eanandoalloministtariin nu johtilit go vejolaš . ¶
– Dál dilli lea dakkár ahte universitehtamáilbmi ii leat máŋgii oba gullange eamiálbmogiid máilmmeoainnuid dahje filosofiijaid birra , muitala Kuokkanen ja lohká ahte go eamiálbmogiid gullevaš olbmot geahččalit buktit ovdan oaiviliiddiset ja oainnuideaset iežaset máilmmegovaid bokte ja vuođul , de earát eai juogo 	ádde 	sin dahje dulkojit sin boastut . ¶
Son maid bures 	ádde 	Sofrid S. Eira go atná váivin vuolgit girkogárdái gos aivve leat sáddot . ¶
Son 	ádde 	ahte okta bátnedoavttir ii nágut buot áiggiid gokčat dárbbuid gielddas . ¶
– Muhto ale fal 	ádde 	mu boastut . ¶
Son aŋkke 	ádde 	ahte bohccot sáhttet suhtadit dan moadde čuođi bierggalačča , muhto Smuk lohká iežaset vuoruid mielde guođohit bohccuid . ¶
EAT 	ÁDDE 	SÁTNEJOĐIHEADDJI : – Mii gal eat ádde maid Nordkáhpa sátnejođiheaddji hálida juksat go cuiggoda boazodoalu Nordkáhpas , lohket Máhkarávjju orohaga boazodoallit Johan Anders Bær , Nils M. Somby ja Nils Mikkel M. Somby . ¶
EAT ÁDDE SÁTNEJOĐIHEADDJI : – Mii gal eat 	ádde 	maid Nordkáhpa sátnejođiheaddji hálida juksat go cuiggoda boazodoalu Nordkáhpas , lohket Máhkarávjju orohaga boazodoallit Johan Anders Bær , Nils M. Somby ja Nils Mikkel M. Somby . ¶
Dattetge Somby 	ádde 	jus olbmot eai liiko , ahte bohccot bilidit sin gilvvagárddiid . ¶
– Muhto boazu gal ii 	ádde 	das maidige . ¶
Ja go olbmot sáhttet čoavdit stuorát váttisvuođaid , de in 	ádde 	manne mii eat galggaše gulahallat Nordkáhpas . ¶
Sii leat munnje dadjan ahte eai nákce čuovvut mielde sámi servodaga ovdáneamis , go eai 	ádde 	mii daddjo . ¶
Son dattetge 	ádde 	sin dili ja lohká leat buorren go ná árrat buktet signálaid heahtedili birra . ¶
Son almmatge 	ádde 	sámi girječálliid ja lágadusaid gierdemeahttunvuođa , muhto ii buvtte man ge lágán ruhtaloahpádusaid . ¶
	ÁDDE 	OROHAGA : Nuorta-Finnmárkku guovllustivrra jođiheaddji Elisabeth Hegge Guttorm ádde orohaga ákkaid , muhto lohká nu leat njuolggadusat vearrosivaid geažil . ¶
ÁDDE OROHAGA : Nuorta-Finnmárkku guovllustivrra jođiheaddji Elisabeth Hegge Guttorm 	ádde 	orohaga ákkaid , muhto lohká nu leat njuolggadusat vearrosivaid geažil . ¶
Sámeráđi poliltihkalaš ráđđeaddi , Johanne Gaup , 	ádde 	moaitaga . ¶
Dáža ii 	ádde 	sámi mánáid ¶
Go eat 	ádde 	giela , eatge dovdda duogáža eat ge kultuvrra , de eat nagot veahki ge addit . ¶
geat eai 	ádde 	manne dálu sámit dárbbašit vuodjit mehciin . ¶
( čuorbbes jallas ) gávpot- ja dáruiduvvon sápmelaččat , geat eai 	ádde 	maide ge dálu sámiid meahcásteamis . ¶
Isak Mathis O. Hætta mielas leat Sámedikkis nu ollu áirasat geat eai 	ádde 	ahte dálusámit dárbbašit mohtorfievrruid guollebivddus , rievssatbivddus , muorračuollamis , murjemis ja lubmemis . ¶
– Go lea oaidnán iežas irggi báhččomin , ja irgi jámii su sallii , de 	ádde 	juohkehaš ahte sus ii leat leamaš nu álkis dilli maŋŋá goddinija , čilge Kjetil Nilsen . ¶
Kemirohki ovttasássi veahkkeadvokáhta Kjetil Nilsen lohká Min Áigái , ahte su klieanta ii 	ádde 	manne lea dárbu roggat bajás áššiid Kemi birra mat leat dáhpáhuvvan ovdalis áiggis . ¶
Dalle báhcet dušše dakkár olbmot geat eai 	ádde 	meahcásteamis maidige , ja geat leat dušše ovttaoaivilis . ¶
Son reagere garrasit go Isak Mathis O. Hætta mannan vahku dievasčoahkkimis fas šlivggodii sániid sárdnestuolus , ja logai Sámedikkis leat nu ollu « inkompeteanta idiotat » ( čuorbbes jallas ) geat eai 	ádde 	manne dálonat dárbbašit vuodjit mehciin . ¶
Son 	ádde 	bures go olbmot váruhit geavaheamis soaibmansániid Sámedikki sárdnestuolus . ¶
– In 	ádde 	eará go ahte vuostálastit leat garrasit gáđašteamen mu . ¶
– Dán vuođustusas logan ahte Ráđđehus 	ádde 	ahte min doaibma gáibida viidát ovttasbargat sihke riikkarájáid siskkobealde ja olggobealde , dadjá Varsi . ¶
Muđui bidjet daid olggos veránda ala , muhto in 	ádde 	movt dasa áigot daid čáhkkehit . ¶
Karen Marie Eira Bujo ii 	ádde 	manne dušše boazodoalu oaguhit eiseválddit , eai ge beroš sisabáhkkemiin mat gáržžidit guohtoneatnamiid bihtáid mielde . ¶
II ÁDDE:Sámediggeráđi lahttu Svein P. Pedersen ii 	ádde 	gos Egil Olli lea viežžan daid loguid maiguin mii mahkká lasihit goluid hálddahusas . ¶
Eilif O. Larsen ii 	ádde 	manne muhtumiidda lea dehálaš oažžut nissonolbmo presideantaevttohassan . ¶
Go Bargiidbellodagas dál leat nissonolbmot geat hálidit leat presideantaevttohassan , de in 	ádde 	manne jienastit vuostá . ¶
– Ale 	ádde 	boastut . ¶
– Min politihkkarat eai 	ádde 	man birra hállet , go gáibidit ahte sápmelaš galgá deavdit ealáhusdieđáhussii máid borrá . ¶
Thoralf Henriksen guorrasa dasa ahte eanaš fylkkapolitihkkarat eai 	ádde 	sámi meahcásteamis go áigot addit vuodjenlobiid dušše sidjiide geain lea ealáhusdieđáhus . ¶
Iige son 	ádde 	Bargiidbellodaga čállosa eahpeluohttámuššan alcces ja eanetlohkui . ¶
Son 	ádde 	bures ahte media ja olbmot imaštallet ahte lea go nomišunlávdegoddi seamma go eahpeluohttámuš Jánožii . ¶
– Son han 	ádde 	buot buoremusat iežas sámi árbevirolaš musihkkavuogi . ¶
It don 	ádde 	! ¶
Nils Ole Holm aŋkke 	ádde 	ahte olbmot sáhttet oažžut áibbas boasttu ipmárdusa Meahccebálvalusa govain mat leat boahtán ovdan dáža aviissain . ¶
Ii 	ádde 	moaitaga ¶
Steinar Grønnli Romssa Portal fitnodagas ii 	ádde 	manin muhtun Šaldimárkan láiguheaddjit moitet sin . ¶
Muhto ieš in 	ádde 	makkár ageanda sis leat geat nákkáhallet jienastannjuolggadusaid alde . ¶
– Sverre lea dakkár álmmái mii 	ádde 	ja diehtá makkárlágán teaksta heive lávddi ala . ¶
Áššiid ovdanbuktin lea logalaš ja njuovžil ja dan geažil lohkki buorebut 	ádde 	manne Sámi guovllu olbmot gárte vuolgit evakkoi olggobeallái iežaset guovllu , Ruŧŧii ja Gaska-Supmii . ¶
Son 	ádde 	go Guovdageainnu sátnejođiheaddji maiddái hálida oasi ruđas iežas suohkanii . ¶
Duottarhearggit searvvi jođiheaddji John Isak Sara , gii lea Ánne Ristena áhčči ja Sara-teama jođiheaddji , 	ádde 	bures nieiddas ákkaid . ¶
Allas 	ádde 	bures anorexia balu šaddat go vuoddjit sáhttet leat nu geahppasat . ¶
- Jesus 	ádde 	maid sámegiela ! ¶
– Ii 	ádde 	 ¶
– Jáhkán ahte son ii 	ádde 	maide ge bohcco luonddus ja mot jahkodagaid guohtun dilálašvuođat váikkuhit bohccuide . ¶
Doivo nubbi nisu 	ádde 	 ¶
Danne in 	ádde 	manne riddoguovllu sátnejođiheaddjit leat eddon , lohká sámediggepresideanta . ¶
Danne in 	ádde 	manne riddoguovllu sátnejođiheaddjit leat eddon , lohká sámediggepresideanta . ¶
