Veadjá leat nu , ahte olles ásahusas galgá vuhttot sámiid diliid 	ádden 	ja gudnejahttin . ¶
- Dáppe Oslos mun beasan juohke beaivve fitnat vuodjamin ja mun 	ádden 	iežan vuodjanskihppáriid Kárášjogas go eai leat dán háve arvan oassálastit Mastervuodjamiin . ¶
Ja mun 	ádden 	bures go Romssa Sámi searvi hálida sámegielat dan aviissa guvlui , lohká Svineng . ¶
- Lean 	ádden 	ahte galget Njuorggámii dušše 100 ođđa huksensaji . ¶
	Ádden 	bures eamiálbmot suhttá . ¶
Mu mielas dan ášši eai leat Greenpeace ovddasteaddjit albma láhkai 	ádden 	. ¶
- Mun bures 	ádden 	manin Boine Sara ná reagere ii ge hálit máksit barggu ovddas mii ii leat dahkkon , lohká Lindstrøm . ¶
- Mun fertejin 40-50 háve jaskadit lohkat teavstta vai 	ádden 	sisdoalu . ¶
In leat nu čeahppi suomagiela ja 	ádden 	dušše duokkot dákko moadde sáni . ¶
Seammás 	ádden 	sin . ¶
- 	Ádden 	bures jos hálidit geassit mis ruđaid ruovttoluotta , go gielda ii leat nagodan dokumenteret masa ruhta manná . ¶
Mun lean fitnan New Zealanddas , ja doppe leat 	ádden 	ahte fertejit ealihit maiddái álgoálbmoga ja sidjiide láhčit ealáhusa . ¶
Odne lean vuoiŋŋalaš olmmoš gii 	ádden 	iežan kultuvrras , čilge Somby . ¶
Mun 	ádden 	muhtin muddui ahte aviisa ferte , ja ahte dát addá vejolašvuođa váldit mielde áššiid nugo omd. jearahallama Aage Solbakkiin sullii vahkku áigi . ¶
	Ádden 	bures jus dahket dan . ¶
Eai sii 	ádden 	ahte sámi guovlluin leat earálágan hástalusat go Norggas muđui , muitala Brenna . ¶
- Dát čájeha ahte eiseválddit eai leat 	ádden 	maid sin vealahan politihkka lea mieddisbuktán sámi álbmogii . ¶
Sámedikki ráđđelahttu Johan Mikkel Sara áigu váldit oktavuođa Finnmárkku Fylkkamanniin , go jáhkká sin leat 	ádden 	boastut Sámedikki . ¶
Eai sii 	ádden 	sámi guovlluin leat earálágan hástalusat go Norggas muđui . ¶
Muhto 	ádden 	bures boazodoalliid oainnuid áššái , dadjá Somby . ¶
- Dat čájeha movt Hansen hállá guovttesuorat njuokčamiin , muhto 	ádden 	ahte ášši sáhttá leat váttis eiseválddiide , go earráneapmi ii leat dábálaš boazodoalus . ¶
- Áddja dorggidii nu sakka go lei ollen gáddái ahte mun in 	ádden 	maid son logai . ¶
Muhto eiseválddit eai leat 	ádden 	mearrasámiid eallinvuogi , ja lágaid mielde sii leat mis rivven vuoigatvuođaid . ¶
Sii eai 	ádden 	, ahte lei váralaš , ja mis lei hirbmat rahčamuš hehttet olbmuid boahtemis lahka mášiinna nu , ahte eai gártta sorbmái , muittaša Heidi Bulljo . ¶
Kosmo guhte loahpaha presideantta ámmaha beasai gullat luođi festivála oktavuođas , ja son lei duhtavaš váikko vel ii 	ádden 	sis-doalus . ¶
» , dego livččii 	ádden 	 ¶
Giđđat son gallestalai suohkana , ja doaivvui gieldda 	ádden 	ahte ferte eambbo várrugas addimis sierralobiid vuodjit meahcis . ¶
» , dego livččii 	ádden 	 ¶
NÁKKÁSTEIGGA : Go NSR ii čilge maid doaba « sámi iešmearrideapmi » sisttisdoallá , de 	ádden 	bures jus muhtimat ballet NSR áigut ásahit sierra sámi stáhta , lohká Marianne . ¶
Danin 	ádden 	bures go Álttá sátnejođiheaddji ja earát imaštit mii NSR višuvdna duođaid lea boahtteáiggis . ¶
- Jáhkán mun liikon daidda , go 	ádden 	das veaháš . ¶
Ieš gohčodan iežan servodatekonoman , danne go 	ádden 	man láhkái ekonomiija geavahit politihkas , čilgesta son . ¶
- 	Ádden 	bures manne Gunn Britt Retter hálidivččii Finnmárkoopmodaga ja stáhtalaš bargosajiid Unjárgii . ¶
Ja 	ádden 	muhtun muddui , vástida Sosialisttalaš Gurutbellodaga riikkastivralahttu Gro-Merete Siri . ¶
- Máilmmi eamiálbmogiid jođiheaddji lea 	ádden 	dan maid Bargiidbellodaga ( Bb ) sámepolitihkkárat eai leat ádden . ¶
- Máilmmi eamiálbmogiid jođiheaddji lea ádden dan maid Bargiidbellodaga ( Bb ) sámepolitihkkárat eai leat 	ádden 	. ¶
Dattetge 	ádden 	mun ahte lea váttis oažžut buot jienaid Mátta-Norggas čohkkejuvvot ja lohkkot . ¶
- Dan lean dadjan semináras , muhto 	ádden 	ahte doppe vásáhusaid ii sáhte buohtastahttit Norgga beale boazodoaluin , go doppe lea eará lágan boazodoallu ja eará lágan eatnamat . ¶
- Ovdaolmmoš ii leat vissa 	ádden 	Bargiidbellodaga cealkámuša , lohká SLF:as muhtin dovddus lahttu Sámi Áigái . ¶
Stuorradikkis gos mearridit , soitet leat olbmot geat eai leat 	ádden 	sámemánáid dárbbuid , go eai dieđe dán ášši birra , lohká son . ¶
Easkka dalle buollái sáhkkiivuohta dan imašlaš gávdnosis go ii oktage mis 	ádden 	mii lei čállon gilkorii , muitala Fridtjof . ¶
Muhto mun 	ádden 	, ahte duoji eai nu álkket oahpahallagoađe , máŋgasat navdet , ahte sii eai máhte duddjot . ¶
Ráđđehusat galget sihkkarastit ahte álgo- ja čeardaálbmogat leat ollásit 	ádden 	ovttasráđiid plánejuvvon ovddidandoaibmabijuid , mat váikkuhit sin eallinvuohkái , sosiálalaš ja ekonomalaš vuogádahkii , dietnasiidda ja bargodilálašvuođaide ja - vejolašvuođaide . ¶
Trosten ii loga iežas ge 	ádden 	geaid Goahtegearret ovddasta vaikke sus lea stuorra beroštupmi meahcástan áššiin . ¶
- Muhto mun lean čađa gaskka 	ádden 	ahte åremål mearrádus ii guoskka munnje , lohká Rørholt . ¶
Álbmogiidgaskasašvuođa mearkkašumi 	ádden 	sámedutkit ja eará sámeaktivisttat leat oaidnigoahtán iežaset oassin universála ollisvuođas , oassin máilmmiviidosaš álgoálbmotservodagas . ¶
- In sáhte dadjat ahte sii verrošit , muhto 	ádden 	go gažaldat čuoččila go ná unnán ohcamušat dohkkehuvvojit , lohká Finnmárkku Fylkkamánni VG aviisii . ¶
Mun 	ádden 	ahte sutnje livččii leamaš somá ahte su váldofágabargu duohtan dahkkošii , lohká Trygve . ¶
Čáhceviežžama geavaha Porsanger govvádussan ja doahpagin , go čilge mo sámit ieža áddejedje oskkuset ja mo amas olbmot eai várra 	ádden 	. ¶
Son lohká 	ádden 	Sara dainna lágiin ahte mediat dat leat botnjan su sániid . ¶
Ieš Bjarne Store Jacobsen cealká mediaide ahte son lei boastut 	ádden 	Finnmárkkuopmodaga stivrramearrádusa ja son jierpmai maŋŋá go Olli lei čilgen ášši . ¶
Soaitá baicce leat juoga maid son ii leat 	ádden 	Finnmárkkuopmodaga stivrejumis ja guđeláhkai stivra áigu jođihit Finnmárkkuopmodaga . ¶
	Ádden 	bures ahte muhtumat jurddašit priváhta čovdosiid , muhto de fertejit dustet daid váikkuhusaid . ¶
Bargiidbellodaga Per Edvard Vars ii 	ádden 	šat maid eanetlohku oba oaivvilda ge áššis . ¶
- Mun in vel dalle 	ádden 	, ahte nie olbmot suodjaledje iežaset bivdosajiid ja - áiggiid . ¶
- Dan áinnas 	ádden 	, go sii han maid orrot geainnohis báikkiin dálvet ja šaddet geavahit bensiidnafievrruid ealáhussii , seamma go mun ge . ¶
- Muhto álo go Sámedikkis lea leamaš čoahkkin dán ášši birra de ii leat sidjiide heiven , nu lean mun 	ádden 	, lohká Tretnes . ¶
Danne lean 	ádden 	dainna lágiin ahte politihkkarat eai leat geatnegahttán hoahpuhit dán ášši , čilge Helander . ¶
De mun dan vuođul 	ádden 	ahte Arktisa liegganeapmi čuohcá man nu láhkai lundui . ¶
Jorgaleaddji Nils Ole Gaup lohk á Torkel Rasmussen ii leat 	ádden 	su giela go lea árvvoštallan girjji « Liegganeamin Árktisa Čuozahusat » jorgalusa . ¶
Lihkku lei ahte Fersullolaččat eai 	ádden 	sámegiela , ja nu dieđusge eai gullan mas lea sáhka . ¶
Sámi Grand Prix lea , jus leaččan riekta 	ádden 	, ovttasbargu gaskal lágideddjiid ja NRK Sámi Radio , ja go ná nana lágideaddjit leat , de vuorddán ain juo mun buori dási , lágideamis ja sáddagis . ¶
Son liikká mieđiha ahte Ahmasalo čilgii mii lei geavvan , muhto son ii dan goassege 	ádden 	proteastan , muhto dábálaš čilgemin . ¶
Muhto ollogat eai dáidán 	ádden 	mas lei sáhka . ¶
	Ádden 	maid ahte iešguđetlágan čearddalaš joavkkuin lea dárbu ovddidit iežaset kultuvrra , giela ja historjjá . ¶
	Ádden 	lea ollu čeavláivuohta sámeálbmogis iežaset kultuvrra ja giela dáfus , nu mo eará joavkkuinge . ¶
In dieđusge oaivvil ahte lea dohkkehahtti dahku , muhto lea dehálaš 	ádden 	dihtii gos ja mo dakkár oainnut šaddet , joatká Rávdná . ¶
- Mun in 	ádden 	manin Sámediggi lea hábmen njuolggadusaid nu gáržžidit ahte prošeavttat mat ovddidit sámegiela gahččet olggobeallái , lohká Gaski . ¶
- Mun in 	ádden 	manin Sámediggi lea hábmen njuolggadusaid nu gáržžidit ahte prošeavttat mat ovddidit sámegiela gahččet olggobeallái . ¶
Vaikke jurddašit sii leat dan ipmirdan , de liikká eai leat goassege 	ádden 	dan perspektiivva mas lea sáhka . ¶
	Ádden 	olbmuid váidalusaid go gáivot eai gurrejuvvo , joatká son . ¶
- Mun 	ádden 	olbmuid moaitámušaid . ¶
Mun 	ádden 	bures go reakšuvnnat leat boahtán , go ná ollusat leat gahččan eret . ¶
- Muhto dat lea historjá , muhto 	ádden 	ahte Ollii lea bahča go Statskog ja Bargiidbellodat leaba leamaš jumežat . ¶
- Muhto dat lea historjá , muhto 	ádden 	ahte Ollii lea bahča go Statskog ja Bargiidbellodat leaba leamaš jumežat . ¶
IEŽAS DULKA : Maja Lisa Kappfjell šattai ieš dulkot dárogillii go dulkkat eai 	ádden 	lullisámegiela . ¶
Bargiidbellodaga sámediggeáirasa Maja-Lise Kappfjell a mielas lea Sámediggi unnán beroštan lullisámegielas , go ii beassan ovddidit áššiid iežas suopmanii go Sámedikki dulkkat eai 	ádden 	sáni ge . ¶
Kappfjell doalai juo distaga iežas sáhkavuoru lullisámegillii , muhto čoahkkinjođihangoddi gohčui su jorgalit sártnis dárogillii go dulkkat eai lean 	ádden 	maid lei lohkan . ¶
- Mun 	ádden 	bures olbmuid , go sii leat massán luohttámuša nu guhkká go eiseválddiid almmolaš boraspirelogut eai dávis loguin , maid olbmot sihke vásihit ja oidnet , lohká son . ¶
In 	ádden 	mas lei sáhka ¶
- Mun gal lean 	ádden 	dán fálaldaga boastut . ¶
- Sámi radio lea ja leamaš hui dehálaš munnje go dá lea áidna giella maid 	ádden 	bures . ¶
- 	Ádden 	bures váidalusa . ¶
Johansen muitala ahte dalle go almmuhedje bivdoguovlluid vuorbádeapmái , ledje rájit rievdaduvvon dan láhkai go kárttas leat dál : - Dalle fertejit bivdit 	ádden 	ja diehtán rájiid ja de ii sáhte šat dáid rievdadišgoahtit , lohká son . ¶
Son ii jáhke Sámedikki fágaolbmuid 	ádden 	man birra dás lea sáhka , go dákkár láivves áššemeannudeami leat dahkan . ¶
	Ádden 	gal ahte Kárášjoga gielda vuoruha báikkiolbmuid sierralobiid vai besset luondduriggodagaid viežžat . ¶
Stuora divttas man gohčodit ” Et rimbrev ” dahje ” Riibmareive ” leat guokte linjá maid dávjá lávejit sihteret , ja mii soittii lean eallinprográmma ( almmuhuvvon ođastuvvon hámis su čohkkejuvvon čállosiin , Gyldendal 1952 ) , das daddjo ná , jorgaluvvon sámegillii : ” Ale gáibit , ustit , ahte mun ákto árvádusa 	ádden 	, mun eanas jearan , mu gohččun ii leat vástidit . ¶
Nu go mun lean 	ádden 	sámi kultuvrra , de ii leat dábálaš dušše iežas birra smiehttat go lea luonddus . ¶
- Mun in bala almmolašvuođas , muhto liikká 	ádden 	dáid geat eai hálit leat almmolažžan , go sis han ii leat ovddasvástádus ja loahpalaš mearridanváldi , lohká son . ¶
- In mun gal 	ádden 	geat sii ledje , easkka maŋŋá go ledje mannen . ¶
Eai 	ádden 	min meahcástanvuogi ¶
Hálidin diehtit eambbo dán olmmoščeardda birra , vai 	ádden 	buorebut manin reahka lea duddjon dien láhkai , čilge son . ¶
- « Vuosttaš oasis Antárkta mátkkis eaba 	ádden 	sániige eaŋgalasgielas . ¶
Son maid ii loga sámegiela oahpaheaddjiid ja oahppasat riekta 	ádden 	su , go ii leat nákcen oahppat iežas eatnigiela . ¶
Sámedikki dievasčoahkkima dávvisámegielat dulkkat eai 	ádden 	sáni ge dulkot . ¶
- Boazodoallohoavda doarju agronoma kritihkka haga , ii ge leat oba 	ádden 	 ¶
- Das oaidnit dađi bahábut ahte departemeanta ii leat 	ádden 	ahte doarjjaášši ii leat eará unná oasáš daid váttisvuođaid maid birra lea sáhka . ¶
- Mun 	ádden 	Sámi museaid váttisvuođaid háhkat ruđaid oastit dološ sámidáidaga , muhto mun maid in livčče goassige máksán nu ollu , vaikko vel sárggus lei orginála , lohká Bang . ¶
	Ádden 	dán barggu lean Dutnje hui lossat ja dat gáibidii Dus oalle ollu . ¶
Sámediggepresideanta Aili Keskitalo logai aviisii Ságahii gieskat ahte viessostivra lea boastut 	ádden 	sámediggeráđi áigumušaid . ¶
- Mu eai leat givssidan Jánoš iešheanalaš áššebajideamit , go mun 	ádden 	ahte dát lea su vuohki loktet máŋggaoaivvil áššiid digaštallama johtui . ¶
Gealuldus sáni in livčče 	ádden 	jus in livčče dás oaidnán , lohká Janna Teresa Hagelin Balto . ¶
Lean 	ádden 	ahte olles Grand Prix idea , nu mo mun lean ádden , galget čájehit Norgga ja daid guovlluid mat leat dehálaččat . ¶
Lean ádden ahte olles Grand Prix idea , nu mo mun lean 	ádden 	, galget čájehit Norgga ja daid guovlluid mat leat dehálaččat . ¶
Dát leat dieđusge bealit maid dát eiseválddit ja politihkkárat eai leat beroštan dahje 	ádden 	. ¶
- Mun sáván ahte mun , sosiáljođiheaddjin , buorebut ipmirdan ja 	ádden 	klieanttaid geain leat psyhkalaš váttut . ¶
- Mun lea 	ádden 	ahte duopmu ii guoddaluvvo alit duopmostullui , nu ahte mu oainnu mielde lea duopmu ovdanahttimin boazodoallorivttiid vaikko lea diggegotti duopmu . ¶
- 	Ádden 	ahte diet guokte boares ádjá eaba gille searvat Grand Prix loahpagilvodoaluide . ¶
Mun 	ádden 	nu bures boazodoalu gáibádusa divvadiid ektui go eai meannuduvvo seamma láhkái go eará ealáhusat , dadjá Olli . ¶
- 	Ádden 	NBR ¶
Buot oahpahus lei dárogillii , man mánát eai 	ádden 	. ¶
ATNÁ VÁIVIN : Sámi Radio prográmmaredaktevra Rávdná Buljo ii šállos muhto átná váivin g o olbmot leat 	ádden 	boastut . ¶
Mun jáhkken beakkán filbmadahkki Nils Gaup livččii 	ádden 	eanet vuoiŋŋalašvuođas . ¶
- Mun jáhkken ahte beakkán filbmadahkki Gaup livččii 	ádden 	eanet vuoiŋŋalašvuođas . ¶
- Álggos in 	ádden 	maidege . ¶
In 	ádden 	sámi áššiin maidege ¶
Muhto mii sápmelaččat eat 	ádden 	ovdalgihtii áššiid čilget , viegaimet niibeboahkániin , čiehgahpiriin ja oruimet issorasat olbmuide . ¶
Ovdal feastta mii čoagganeimmet nuppelot nieidda čuohpadit daid báiddiid vuoi eai leat buohkat seammáláganat , moai ean vel áibbas 	ádden 	mii dat « street party » lea , muhto álggiime eambbo ja eambbo illudit dasa . ¶
Gardå rápmo nuoraid go lea váldán ovddasvástadusa buot bargguin ja go lea 	ádden 	ahte juohke bargu lea seamma dehálaš teáhterbihtá lihkostuvvamii . ¶
- Dan mun 	ádden 	hui bures , go leat leamaš eahpečielggasvuođat . ¶
- 	Ádden 	bures NSR jođiheaddji ii oainne ávkki konsultašuvnnaiguin ráđđehusain , muhto mu mielas lea beare árrat botket dáid . ¶
- Mun 	ádden 	bures NSR jođiheaddji Silje Muotka go son ná árvala , nu lohká Aili Keskitalo dasa go Muotka bivdá Sámedikki árvvoštallat botket konsultašuvnnaid ja ahte go Muotka ii oainne makkár ge ávkki dáid gulahallamiiguin nu guhká go ráđđehus ii čuovo soahpamušaid . ¶
- 	Ádden 	gal veahá juo , muhto in nagot áddet visot maid olbmot hállet , go sii hállet nu johtilit , dadjá Mia ja lohká leat dehálaš váldit vára sámegielas . ¶
- Mun 	ádden 	bures ahte NRK Sámi Radio lea čálligoahtán ođđasiid dušše dárogillii , go dainna oláhit eambbosit . ¶
Fleicher lei maiddái guhte muitalii « duohtavuođa » muhtin bivdobláđis Finnmárkkulága birra ja mo Stuorradiggi lei fillehuvvon juristtaide geat eai 	ádden 	. ¶
- Muhto eaihan sii 	ádden 	, danne go mun hállen sámegiela , muitala Niillás . ¶
Máŋgii go lean aviissa lohkan , de fuomášan go nuppážii logan ahte mun han lean ášši botnjut 	ádden 	. ¶
Muhto nu mo Lindi lea 	ádden 	de ferte bierggu suovastit sierra gokčojuvvon lanjas ja Linddi mielas ii leat diekkáraš rusttegis suovastuvvon biergu dat seamma go árbevirolaš suovasbiergu . ¶
- 	Ádden 	bures go sámi oahpaheaddjit vuollánišgohtet , go ressursaid haga ii leat sámeskuvla dássásaš dáža skuvllain , nu lohká Sámedikki ráđđelahttu Jarle Joansen . ¶
- 	Ádden 	bures oahpaheddjiid vuolláneami ¶
Sámediggeráđi Jarle Jonasen lohka iežas bures 	ádden 	go oahpaheaddjit dál leat beanta vuolláneamen go sis lea garraseabbo oahpahusbeaivvit go dáža skuvllain lea . ¶
- Sámeskuvllat ja oahpaheaddjit leat dál vearrás dilis ja 	ádden 	hures oahpaheddjiid go ná reagerejit ja vuollánišgohtet , nu ahte jus dál ii boađe johtui ortnet mii njulgesta sámeskuvllaid ja sámeoahpahusa dilálašvuođa , de ii leat vejolaš juksat máhttoloktema ulbmiliid , lohká Jarle Jonasen . ¶
17. mai-komitea Oslos ii eai lean 	ádden 	dan vuođu vuođđolágas , muhto sii šadde bákkus duhtat dainna . ¶
- Son ii leat dán áššis 	ádden 	váldit ovddasvástádusa . ¶
Lili010 : Ean 	ádden 	buot galbbaid dáppe , nu ahte riibaheimme vel sáhku oažžut . ¶
Nugo mun lean 	ádden 	, de liikojit olbmot sutnuide , loahpaha Smette . ¶
- 	Ádden 	bures go sámi oahpaheaddjit vuollánišgohtet , go ressuršaid haga ii leat sámeskuvla dássásaš dáža skuvllain , nu lohká Sámedikki ráđđelahttu Jarle Jonassen . ¶
	Ádden 	bures oahpaheddjiid vuolláneami ¶
Sámediggeráđi Jarle Jonassen lohká iežas bures 	ádden 	go oahpaheaddjit dál leat beanta vuolláneamen go sis lea garrasit oahpahusbeaivvit go dáža skuvllain lea . ¶
- Sámeskuvllat ja oahpaheaddjit leat dál vearrás dilis ja 	ádden 	hures oahpaheddjiid go ná reagerejit ja vuollánišgohtet , nu ahte jus dál ii boađe johtui ortnet mii njulgesta sámeskuvllaid ja sámeoahpahusa dilálašvuođa , de ii leat vejolaš juksat máhttoloktema ulbmiliid , lohká Jarle Jonassen . ¶
- NSR leat ollu romis dábit ja mu ášši lea okta dakkár , go orgánisašuvdna ii leat 	ádden 	iežas bargoaddi rolla . ¶
- Sámediggejoavku lea bures 	ádden 	Trostena dili ja su dárbbu oažžut maŋŋebálkká oanehis áigái go juo šattai nu ahte gárttai guođđit NSR parlameantáralaš virggi . ¶
- Ja 	ádden 	maiddái Norgga Boazosápmelaččaid Riikasearvvi oainnu dán áššái , go sii han leat Norgga boazosápmelaččaid ovddasteaddjit eaige sáhttán ealáhusorganisašuvdnan eará dahkat , lohká Pedersen . ¶
Dat juo njulgestaga čájeha ahte DN ii leat 	ádden 	maidege sámiid meahccevuodjimis . ¶
- Nu go mun 	ádden 	de orrot ráhkkaneamen Ráitevárrái stuorit bargguid dahje doaimmaid , ja jus nu leaš , de eai sáhte álggahit dáid bargguid ovdal go leat čielggaduvvon ahte dát barggut eai leat hehttehussan dahje goarádussan boazodollui ja sámi beroštumiide , lohká Sara . ¶
- 	Ádden 	bures boazoealáhusa balu dákkár doaimmaide , go ii oktage boazodoalli hálidivčče čáhkket saji ruvkedoibmii ja guođđit agibeaivái boazodoalu , čilge Balto . ¶
- Mun 	ádden 	sin suhtu go muhtun byrokráhttat galget sáhttit mearridit mo ja man vuogi mielde olbmot galget beassat ávkkástallat luondduriggodagaid , lohká Haga . ¶
Ja mii duonát geafivuođas leat vuovdán sidjiide eanastuhkaimet , ostiimet buotlágan dán áigge biergasiid , muhto eat duonát 	ádden 	ahte dat rusttot ja bieđganit , ja das maŋŋá mii leat ge fas nalas hiitamiin . ¶
Mii oahppameahttumat eat 	ádden 	eatnama mearkkašumi . ¶
Eai dalle vel mis nu gallis 	ádden 	, ahte mii maid muhtimin oahppat ja máhttit ja sáhttit ieža stivret iežamet . ¶
Máddin boahtán báhpat dan gal ledje 	ádden 	ja mearkkuhan alcceseaset eatnamiid dáppe guovllus ja nu ohcejohkalaččaid eana álggii gáržut sápmelaččaid bađa vuolde . ¶
- In mun álggos 	ádden 	mii dát báhpiriid lea ja fertejin muhtin gielalačča sihtat čilget mii dát lea , muitala son . ¶
Gihttelis , davvi Suomas , leat dál ráhkkaneamen rahpat golleruvkki boahtte geassái , ja ruvkki stuorrodat balddiha NBR jođiheaddji Nils Henrik Sara : - In leat oba 	ádden 	ge ruvkeguovlu šaddá dego smávva gávpot , 8500 mihttu , ja go gulan ahte Gihttela ruvki ii leat dat stuorimus , de gal balddiha . ¶
Gihttelis , davvi Suomas , leat dál ráhkkaneamen rahpat golleruvkki boahtte geassái , ja ruvkki stuorrodat balddiha NBR jođiheaddji Nils Henrik Sara : - In leat oba 	ádden 	ge ruvkeguovlu šaddá dego smávva gávpot , 8500 mihttu , ja go gulan ahte Gihttela ruvki ii leat dat stuorimus , de gal balddiha . ¶
Anne Luoise Næss Gaup goit ii loga iežas goasse 	ádden 	niegadit niegus ge ahte dainna lágin galggái su vuosttaš deaivadeapmi vuovddi ádjáin geavvát . ¶
Mun 	ádden 	dán ná ahte SáB sátnejođiheaddjievttohas , Terje Tretnes , ii dohkket earáid ja badjelgeahččá Kárášjoga gieldda jienasteaddjiid eanetlogu , dadjá Marit Kirsten Anti Gaup . ¶
Son sivahalai dárogielat politiijáid boastut 	ádden 	vihttaniid geat eai máhttán nu bures dárogiela . ¶
Boahttevaš fylkkasátnejođiheaddji , orro ge dego eanaš fylkka gielddaid sátnejođiheaddjit , 	ádden 	ahte olbmot eai šat dohkket máttanorgalaččaid sin stivret ja mearredit mo dáppe mii galgat eallit , seammás go iežaset guovlluin eai duosta maidege dahkat váttisvuođaiguin ja daid ollu fanas- ja biilalihkohisvuođain . ¶
Muhtun mánát eai 	ádden 	eai maidige . ¶
Njealljelogiguhtta dáin vahkkuin in 	ádden 	olus maid oahpaheaddji hálai . ¶
In leat dan 	ádden 	dahkat . ¶
Ii lean 	ádden 	 ¶
Skuvlalanjas ii lean go dárogiella ja mun in 	ádden 	sáni ge . ¶
Čohkkáimet ja guldaleimmet vaikko eat 	ádden 	. ¶
Go Finnmárkkukomišuvdna boahtá johtui , de bohtet sii geavahit dan ahte buohkat han dohkkejedje dán ja eai vuosttildan FeFo fitnodaga ásaheami , oaivvilda son ja lohká ahte Sámedikki áirasat eai oro 	ádden 	váikkuhusaid go dohkkehedje dán . ¶
Eai buohkat Álttás 	ádden 	maid Hjalmar dáinna mieskan šlihtáin áiggui . ¶
- Muhto mun 	ádden 	sihke Kárášjoga ja Guovdageainnu go hálidit leat váldogávpogin , go dat han addá ovdamuniid , muhto maiddái ovddasvástádusa Sámeálbmoga ektui , muittuha Sámedikki presideanta Egil Olli . ¶
Radio ja eará mediaid dieđuid vuođul leat 	ádden 	ahte Girko- ja oahpahusdepartemeanta árvvoštallá ásahit sámi gymnása Áltái . ¶
- 	Ádden 	bures ahte sámi aviissat vurdet ahte dát galgá mannat jođanit , dadjá Valle Min Áigái . ¶
Lei máilbmi mu birra , mas in 	ádden 	maidege . ¶
TEKSTEJUVVON : - Dál mun ge 	ádden 	visot maid Beaivváš teáhtera Mary Sarre muitala , illuda Liv Christin Klefstad . ¶
- Dál mun ge 	ádden 	teáhtera ¶
Dađi bahát in leat ovdal nagodan visot čuovvut das mii dáhpáhuvvá teáhteris , vaikko vel 	ádden 	veaháš sámegiela , muitala hárjánan teáhtergeahčči Liv Christin . ¶
- Mun 	ádden 	sin oainnu , ja dieđus sáhttá teksten moasehuhttit . ¶
- Álggus in 	ádden 	ahte mu birra dat lei sáhka , lohká Johnsen . ¶
- Go stáhtaministtar velá jolge lasihit ahte iežamet gaskariikalaš sáttagottit eai álo sáhte vuhtiiváldit buot beliid ja beroštumiid Norggas , de muitala dat dan seammás ahte sii eai leat 	ádden 	geasa eanemusat čuhcet boahtteáigge dálkádatrievdamat , namalassii sápmelaččaide Norggas ja Davvikalohtas , joatká Lysklætt . ¶
- Jua , mun 	ádden 	ahte dat lea ártegis ákká , muhto in sáhtte spižán vađđut bargiid bargui . ¶
Muhto deattuhan ahte dát ii lean sávahahtti dilli , ja 	ádden 	hui bures boazodolliid heađi , dadjá Thor Aage Pedersen . ¶
- 	Ádden 	bures ahte sii čájehedje dien ciellama danin go dat han geasuha gehččiid , muhto sii eai livčče dárbbašan nie ollu čájehit , dadjá Balto ja lea ilus go dál áigot iskat dien ášši . ¶
Maŋážassii letne moai maiddái 	ádden 	ahte ferte leat juoga mii lea boastut . ¶
Nannendihti iežas ákkastallama , Olli cealká ahte ii sáhte váldit NSR:a duođas ja ahte mii eat leat 	ádden 	ášši . ¶
Earát eai 	ádden 	mii dat lei , dat lei sámegillii heivehuv von « pidestall » . ¶
Muhto mun gii dán čállosa lean čállán , gal lean lohkan girjji , ja 	ádden 	dan sisdoalu bures . ¶
“ Miššonearat ja báhpat eai 	ádden 	luođi ja dan ¶
Nugo mun 	ádden 	Bertil Rolf , de ii sáhte buot geavatlaš máhtu njulgestaga oahpahit , go lea veadjemeahttun dovdat juohke dilálašvuo ¶
Mun 	ádden 	Ingolda dainna lágiin ahte olmmoš oahppá ipmirdit duovdaga go ieš lea doppe . ¶
mun 	ádden 	, de ferte olmmoš gii ¶
In 	ádden 	dalle maid son oaivvildii , ovdal go ieš vázzen ja vásihin man ¶
Dál mun gal 	ádden 	go ¶
Mun 	ádden 	I ¶
Nugo mun 	ádden 	Elle , de ferte olmmoš ieš orostallat guovlluin , nu ahte liikogoahtá daidda . ¶
Go Ailo lohká , ahte olmmoš sáhttá duohtadit ja váldit biergasiid mielde maid gávdná muhto dalle ferte vuos jearrat lobi , de 	ádden 	mun sus ahte olmmoš sáhttá gulahallat ja soabadit biergasiid alde mat leat fiervvás , muhto olmmoš okto ii rá ¶
Mikkel Nils Sara suokkardallá evaluerendutkamis , mainna lágiin skuvllat leat 	ádden 	, mii sámi árbevirolaš diehtu ja máhtu lea ja mainna lágiin oahpaheaddjit oidnet dan sáhttit váldit atnui skuvllas . ¶
Máná dárofuolkkit eai 	ádden 	manne nie ollu galggai rahčat sámegiela dihtii . ¶
Muhto Sara doaba searvelatnja , nugo mun 	ádden 	dan , ii gieđahala árvokvalitehta sirdima buolvvas nubbái . ¶
	ádden 	ja dat hállojuvvojedje njálmmi siste suollemasat . ¶
dahje 	ádden 	. ¶
buoridit jienajávohaga dahje dajadit sániid , maid ii 	ádden 	. ¶
	ádden 	oktage duohta spivkan , álo bázii hállanláhkai : – Maidson dal duot ¶
teavsttaid čállin ja 	ádden 	lea váddásut go hállangiela ádden . ¶
teavsttaid čállin ja ádden lea váddásut go hállangiela 	ádden 	. ¶
máhtán mun diená ahte , mun oalle ollu jo 	ádden 	dahje measta visot , dahje in dieđus buot sániid ádde muhto , goit , dan mas lea sáhka . ¶
